response_id,ticket_id,submitted_on,score,comment
571,787,2024-05-28,5,quick fix
572,788,2024-01-11,4,
573,789,2024-12-26,4,great support
574,790,2024-05-12,4,quick fix
575,793,2024-09-29,5,quick fix
576,794,2024-05-20,3,slow but solved
577,795,2024-03-12,5,had to chase twice
578,797,2024-10-27,4,quick fix
579,800,2024-01-11,5,had to chase twice
580,801,2024-12-11,3,slow but solved
581,802,2024-11-20,5,slow but solved
582,803,2024-10-30,4,quick fix
583,805,2024-10-13,5,
584,806,2024-03-21,5,quick fix
585,807,2024-08-10,4,
586,808,2024-08-25,5,
587,810,2024-09-06,5,had to chase twice
588,813,2024-11-11,4,had to chase twice
589,814,2024-09-09,1,had to chase twice
590,815,2024-09-06,4,great support
591,817,2024-05-31,5,quick fix
592,819,2024-11-01,2,great support
593,820,2024-09-25,5,had to chase twice
594,822,2024-12-13,3,
595,823,2024-01-30,5,slow but solved
596,824,2024-02-26,4,great support
597,825,2023-11-20,5,quick fix
598,826,2024-10-30,4,slow but solved
599,827,2024-04-15,4,quick fix
600,828,2024-09-20,2,slow but solved
601,830,2023-10-06,4,
602,832,2024-07-28,2,great support
603,833,2024-03-04,2,slow but solved
604,834,2024-02-26,3,slow but solved
605,835,2024-05-18,4,slow but solved
606,837,2024-11-28,5,quick fix
607,838,2023-10-17,1,great support
608,842,2023-09-20,4,had to chase twice
609,844,2023-08-30,5,slow but solved
610,845,2024-09-30,5,slow but solved
611,847,2023-09-28,5,had to chase twice
612,849,2024-12-22,2,quick fix
613,850,2023-12-16,3,great support
614,851,2024-03-26,4,great support
615,852,2024-11-17,5,quick fix
616,853,2024-12-31,3,quick fix
617,855,2024-12-30,4,great support
618,856,2024-10-18,3,had to chase twice
619,860,2024-08-18,5,
620,861,2024-10-27,5,
621,862,2024-11-26,5,slow but solved
622,863,2024-12-17,3,quick fix
623,864,2024-11-10,3,
624,865,2024-03-11,5,
625,866,2023-08-28,2,had to chase twice
626,867,2024-11-05,4,quick fix
627,868,2023-09-08,5,had to chase twice
628,869,2023-10-27,4,
629,870,2023-08-11,5,
630,871,2024-05-28,5,great support
631,872,2024-04-27,5,slow but solved
632,873,2023-09-11,3,great support
633,875,2024-04-26,3,quick fix
634,876,2024-12-10,5,had to chase twice
635,877,2024-02-23,3,had to chase twice
636,878,2023-11-29,5,quick fix
637,880,2024-09-12,4,
638,883,2023-09-05,3,great support
639,884,2024-10-08,5,quick fix
640,886,2024-08-18,5,had to chase twice
641,888,2024-09-29,5,great support
642,889,2023-10-17,5,quick fix
643,891,2024-07-05,5,
644,892,2024-10-18,4,quick fix
645,893,2024-07-31,5,had to chase twice
646,894,2024-06-23,4,had to chase twice
647,896,2024-08-12,5,had to chase twice
648,897,2024-05-29,1,
649,898,2024-01-23,4,had to chase twice
650,901,2024-10-10,2,quick fix
651,902,2024-09-28,5,
652,903,2023-09-10,1,quick fix
653,904,2024-03-09,2,had to chase twice
654,905,2024-10-22,4,
655,907,2024-06-05,5,
656,908,2024-07-26,4,slow but solved
657,909,2024-10-17,4,
658,910,2024-08-12,4,great support
659,911,2023-10-12,4,slow but solved
660,912,2024-05-28,4,had to chase twice
661,915,2024-09-21,5,slow but solved
662,916,2023-12-04,3,slow but solved
663,917,2023-10-19,5,had to chase twice
664,918,2024-10-18,5,had to chase twice
665,919,2024-04-28,4,
666,921,2024-10-27,5,slow but solved
667,922,2024-12-11,5,quick fix
668,923,2024-11-19,5,
669,924,2024-08-19,3,quick fix
670,925,2024-06-15,4,had to chase twice
671,926,2024-01-26,5,slow but solved
672,927,2024-05-15,3,great support
673,929,2023-11-23,5,had to chase twice
674,931,2024-10-11,5,quick fix
675,932,2024-12-30,5,great support
676,933,2024-07-24,5,great support
677,934,2024-10-18,3,great support
678,935,2024-05-21,5,
679,936,2024-05-17,5,quick fix
680,937,2023-12-27,2,had to chase twice
681,938,2023-10-26,4,great support
682,939,2024-02-20,5,slow but solved
683,940,2024-12-24,5,had to chase twice
684,941,2024-10-17,5,had to chase twice
685,942,2024-08-17,4,slow but solved
686,943,2023-10-25,5,had to chase twice
687,944,2024-02-20,2,
688,945,2024-07-28,5,great support
689,946,2024-05-27,4,slow but solved
690,947,2024-12-22,4,had to chase twice
691,949,2024-04-21,4,slow but solved
692,953,2024-08-24,5,
693,954,2024-11-15,2,slow but solved
694,956,2024-04-05,5,had to chase twice
695,959,2024-10-10,5,quick fix
696,960,2023-12-10,4,quick fix
697,961,2023-07-25,5,quick fix
698,962,2024-02-04,3,great support
699,964,2023-12-17,4,
700,966,2024-06-09,4,quick fix
701,967,2024-11-05,4,great support
702,968,2024-11-02,4,slow but solved
703,969,2024-11-10,4,had to chase twice
704,970,2024-10-15,5,quick fix
705,971,2024-10-10,5,quick fix
706,972,2024-09-14,1,slow but solved
707,973,2024-04-09,5,
708,975,2023-12-04,5,quick fix
709,976,2024-01-12,4,quick fix
710,977,2023-10-08,2,great support
711,978,2023-12-28,4,slow but solved
712,979,2024-10-06,5,great support
713,981,2024-11-03,5,slow but solved
714,982,2024-01-07,5,quick fix
715,983,2024-06-06,5,great support
716,984,2023-09-20,4,quick fix
717,985,2024-08-18,3,
718,987,2023-12-31,4,quick fix
719,991,2024-08-27,5,great support
720,993,2024-03-01,2,slow but solved
721,994,2024-04-21,4,
722,995,2024-12-23,3,quick fix
723,997,2024-08-08,5,had to chase twice
724,998,2024-01-11,3,
725,999,2024-05-16,5,great support
726,1000,2024-05-16,3,quick fix
727,1001,2023-11-11,3,great support
728,1002,2024-01-16,5,slow but solved
729,1005,2024-10-01,5,great support
730,1006,2024-08-03,4,
731,1007,2024-10-25,3,great support
732,1008,2024-02-02,1,had to chase twice
733,1009,2024-07-27,5,
734,1011,2024-01-19,4,great support
735,1013,2024-02-20,1,
736,1016,2024-11-15,4,slow but solved
737,1017,2024-03-06,1,great support
738,1019,2024-09-12,5,great support
739,1020,2024-05-25,3,
740,1021,2024-08-06,4,quick fix
741,1022,2024-06-29,3,quick fix
742,1023,2024-10-24,4,quick fix
743,1024,2024-12-05,1,quick fix
744,1026,2024-09-21,4,had to chase twice
745,1027,2024-05-30,5,had to chase twice
746,1028,2024-10-29,1,had to chase twice
747,1029,2024-12-22,5,
748,1030,2024-08-08,5,had to chase twice
749,1031,2024-04-25,4,great support
750,1033,2024-09-09,4,great support
751,1034,2024-08-06,5,
752,1035,2024-05-13,5,
753,1036,2024-07-20,5,great support
754,1038,2023-12-08,5,
755,1039,2023-09-12,5,had to chase twice
756,1040,2024-10-23,5,quick fix
757,1043,2024-07-06,4,
758,1044,2023-12-14,1,quick fix
759,1045,2023-09-10,5,slow but solved
760,1046,2024-12-26,5,slow but solved
761,1047,2024-03-23,5,quick fix
762,1048,2024-11-11,5,
763,1049,2024-12-27,4,quick fix
764,1051,2024-01-31,5,quick fix
765,1054,2024-08-14,3,slow but solved
766,1056,2024-03-06,4,great support
767,1057,2024-07-23,1,quick fix
768,1058,2024-08-06,3,
769,1059,2024-11-30,5,
770,1060,2023-12-16,4,slow but solved
771,1061,2024-05-18,3,had to chase twice
772,1062,2024-09-25,5,
773,1063,2024-06-10,5,slow but solved
774,1064,2024-03-23,5,great support
775,1065,2024-04-19,5,had to chase twice
776,1066,2023-08-25,4,had to chase twice
777,1067,2023-10-29,4,quick fix
778,1068,2024-06-29,4,slow but solved
779,1070,2024-06-25,4,great support
780,1071,2024-11-28,5,
781,1072,2024-06-26,4,slow but solved
782,1073,2024-11-06,5,slow but solved
783,1074,2024-05-11,5,slow but solved
784,1076,2024-12-16,3,had to chase twice
785,1077,2024-03-30,1,quick fix
786,1079,2023-09-15,3,
787,1080,2024-07-30,5,slow but solved
788,1081,2023-12-28,5,slow but solved
789,1084,2023-09-10,5,slow but solved
790,1088,2023-08-04,3,great support
791,1089,2024-09-10,3,had to chase twice
792,1092,2024-06-18,5,great support
