line_id,invoice_id,description,quantity,unit_price,line_total
231,111,subscription,5,617.27,3086.35
232,111,usage overage,1,1303.17,1303.17
233,111,onboarding services,7,1237.96,8665.72
234,112,add-on seats,5,1502.6,7513.0
235,113,onboarding services,2,1977.38,3954.76
236,113,subscription,7,770.82,5395.74
237,114,subscription,1,890.9,890.9
238,114,support plan,7,1053.15,7372.05
239,115,add-on seats,8,1107.48,8859.84
240,115,subscription,9,1540.43,13863.87
241,116,onboarding services,3,832.71,2498.13
242,116,usage overage,9,224.22,2017.98
243,116,add-on seats,7,798.89,5592.23
244,117,usage overage,10,1198.2,11982.0
245,118,onboarding services,7,1962.05,13734.35
246,119,subscription,8,1845.48,14763.84
247,119,add-on seats,2,504.85,1009.7
248,120,onboarding services,8,2040.99,16327.92
249,121,usage overage,1,609.73,609.73
250,121,support plan,10,984.6,9846.0
251,121,onboarding services,2,826.26,1652.52
252,122,support plan,3,1012.64,3037.92
253,122,support plan,10,1590.53,15905.3
254,122,subscription,7,1076.94,7538.58
255,123,support plan,9,541.64,4874.76
256,123,add-on seats,9,209.53,1885.77
257,124,onboarding services,1,1139.39,1139.39
258,124,subscription,8,2085.77,16686.16
259,125,add-on seats,3,1886.49,5659.47
260,125,add-on seats,1,516.88,516.88
261,126,onboarding services,2,2169.98,4339.96
262,126,subscription,3,666.56,1999.68
263,127,add-on seats,5,834.39,4171.95
264,127,onboarding services,9,208.07,1872.63
265,128,subscription,9,729.91,6569.19
266,129,add-on seats,10,1211.46,12114.6
267,129,onboarding services,1,423.95,423.95
268,129,add-on seats,10,1852.9,18529.0
269,130,usage overage,9,1861.46,16753.14
270,130,add-on seats,9,2071.54,18643.86
271,130,support plan,3,2157.84,6473.52
272,131,support plan,8,1043.45,8347.6
273,132,add-on seats,7,1288.81,9021.67
274,132,subscription,9,1754.73,15792.57
275,132,usage overage,3,1698.49,5095.47
276,133,support plan,8,2182.86,17462.88
277,133,usage overage,1,1343.25,1343.25
278,133,support plan,4,1187.76,4751.04
279,134,usage overage,4,1257.92,5031.68
280,135,usage overage,4,355.3,1421.2
281,135,usage overage,5,174.37,871.85
282,135,add-on seats,9,1052.2,9469.8
283,136,support plan,7,1422.69,9958.83
284,136,usage overage,6,2096.61,12579.66
285,137,onboarding services,1,1042.77,1042.77
286,137,support plan,1,327.01,327.01
287,138,onboarding services,6,1729.94,10379.64
288,138,add-on seats,1,1036.46,1036.46
289,139,subscription,8,600.61,4804.88
290,139,onboarding services,4,233.13,932.52
291,140,subscription,6,1656.66,9939.96
292,140,support plan,6,1504.28,9025.68
293,140,subscription,9,798.62,7187.58
294,141,support plan,5,572.26,2861.3
295,141,add-on seats,8,721.07,5768.56
296,141,onboarding services,9,623.08,5607.72
297,142,support plan,9,1935.5,17419.5
298,142,subscription,2,1396.91,2793.82
299,143,usage overage,2,200.65,401.3
300,144,add-on seats,4,357.81,1431.24
301,144,support plan,4,984.8,3939.2
302,145,usage overage,2,1888.58,3777.16
303,146,add-on seats,2,531.55,1063.1
304,147,support plan,3,247.84,743.52
305,148,onboarding services,9,493.94,4445.46
306,149,support plan,6,2015.31,12091.86
307,149,add-on seats,1,498.38,498.38
308,150,add-on seats,9,872.27,7850.43
309,150,subscription,3,1518.73,4556.19
310,150,onboarding services,10,693.59,6935.9
311,151,add-on seats,3,1093.94,3281.82
312,152,usage overage,4,695.99,2783.96
313,152,support plan,1,1766.69,1766.69
314,152,support plan,1,2033.08,2033.08
315,153,subscription,8,1500.67,12005.36
316,153,support plan,3,1889.96,5669.88
317,154,add-on seats,6,1875.62,11253.72
318,155,subscription,2,869.41,1738.82
319,155,add-on seats,2,2183.76,4367.52
320,155,support plan,4,1646.54,6586.16
321,156,usage overage,10,1955.67,19556.7
322,156,add-on seats,7,1341.01,9387.07
323,157,subscription,3,1426.05,4278.15
324,157,subscription,6,1915.1,11490.6
325,157,subscription,9,1757.55,15817.95
326,158,usage overage,1,1743.18,1743.18
327,158,support plan,5,703.54,3517.7
328,158,add-on seats,10,271.57,2715.7
329,159,onboarding services,1,1128.2,1128.2
330,160,add-on seats,7,1661.73,11632.11
331,161,subscription,3,1353.68,4061.04
332,161,support plan,2,362.63,725.26
333,161,add-on seats,10,1039.97,10399.7
334,162,onboarding services,7,298.49,2089.43
335,163,subscription,1,565.08,565.08
336,163,usage overage,4,1478.98,5915.92
337,164,add-on seats,3,1091.69,3275.07
338,165,subscription,5,1147.96,5739.8
339,165,add-on seats,4,2118.73,8474.92
340,165,add-on seats,2,892.67,1785.34
341,166,usage overage,9,1199.36,10794.24
342,166,usage overage,6,705.03,4230.18
343,167,support plan,1,1404.88,1404.88
344,167,add-on seats,9,594.59,5351.31
345,168,support plan,10,1984.41,19844.1
346,169,subscription,2,849.93,1699.86
347,170,usage overage,3,798.78,2396.34
348,170,usage overage,1,107.31,107.31
349,171,onboarding services,8,1762.37,14098.96
350,171,onboarding services,6,1617.13,9702.78
351,172,onboarding services,4,476.82,1907.28
352,173,usage overage,7,1637.37,11461.59
353,174,usage overage,2,1074.59,2149.18
354,174,onboarding services,10,1387.49,13874.9
355,175,support plan,2,100.83,201.66
356,175,support plan,10,1864.4,18644.0
357,175,support plan,10,100.02,1000.2
358,176,usage overage,3,1801.38,5404.14
359,176,subscription,5,131.87,659.35
360,176,onboarding services,4,427.4,1709.6
361,177,subscription,2,1318.99,2637.98
362,177,add-on seats,5,925.59,4627.95
363,178,onboarding services,10,822.76,8227.6
364,178,subscription,9,898.88,8089.92
365,178,support plan,9,1076.02,9684.18
366,179,support plan,8,2082.87,16662.96
367,179,usage overage,4,540.09,2160.36
368,179,subscription,7,1394.22,9759.54
369,180,onboarding services,4,181.88,727.52
370,180,add-on seats,1,1590.65,1590.65
371,180,onboarding services,7,530.26,3711.82
372,181,support plan,9,1650.34,14853.06
373,182,onboarding services,2,534.0,1068.0
374,182,onboarding services,9,820.03,7380.27
375,182,add-on seats,8,808.66,6469.28
376,183,support plan,10,2026.99,20269.9
377,183,support plan,3,1762.12,5286.36
378,184,add-on seats,4,1370.95,5483.8
379,185,usage overage,8,352.48,2819.84
380,185,support plan,4,259.31,1037.24
381,186,usage overage,4,1992.85,7971.4
382,186,add-on seats,4,1086.11,4344.44
383,186,usage overage,5,145.42,727.1
384,187,subscription,5,474.03,2370.15
385,187,subscription,3,373.38,1120.14
386,188,support plan,1,1055.81,1055.81
387,188,onboarding services,2,424.84,849.68
388,189,support plan,7,423.88,2967.16
389,190,support plan,9,1679.98,15119.82
390,190,add-on seats,2,1887.16,3774.32
391,191,subscription,6,614.33,3685.98
392,191,subscription,2,103.35,206.7
393,191,subscription,2,2041.39,4082.78
394,192,support plan,5,810.99,4054.95
395,193,usage overage,4,1422.2,5688.8
396,194,add-on seats,5,410.45,2052.25
397,194,add-on seats,7,629.35,4405.45
398,195,subscription,5,1668.35,8341.75
399,195,subscription,7,447.46,3132.22
400,195,add-on seats,3,1501.26,4503.78
401,196,onboarding services,10,1350.9,13509.0
402,197,add-on seats,4,2110.57,8442.28
403,197,usage overage,6,893.14,5358.84
404,198,usage overage,1,474.78,474.78
405,199,onboarding services,3,1477.09,4431.27
406,199,subscription,5,2086.95,10434.75
407,200,usage overage,10,1863.99,18639.9
408,200,usage overage,4,668.12,2672.48
409,201,onboarding services,7,1269.3,8885.1
410,202,onboarding services,1,2066.85,2066.85
411,203,subscription,7,671.73,4702.11
412,204,support plan,4,2062.06,8248.24
413,204,support plan,7,1327.83,9294.81
414,205,support plan,1,1986.73,1986.73
415,205,add-on seats,7,634.21,4439.47
416,205,add-on seats,2,435.27,870.54
417,206,onboarding services,9,736.16,6625.44
418,206,onboarding services,10,1835.2,18352.0
419,206,subscription,9,1764.6,15881.4
420,207,support plan,9,633.07,5697.63
421,207,support plan,3,982.26,2946.78
422,208,support plan,2,1828.11,3656.22
423,209,subscription,6,1025.95,6155.7
424,210,subscription,2,894.09,1788.18
425,210,onboarding services,7,1330.84,9315.88
426,210,onboarding services,7,2134.32,14940.24
427,211,subscription,2,2068.52,4137.04
428,212,add-on seats,4,1309.83,5239.32
429,213,support plan,9,592.13,5329.17
430,213,onboarding services,10,915.27,9152.7
431,214,subscription,9,1812.68,16314.12
432,214,onboarding services,1,1440.22,1440.22
433,215,support plan,10,1004.41,10044.1
434,215,onboarding services,1,352.05,352.05
435,215,subscription,5,1032.07,5160.35
436,216,subscription,6,1705.1,10230.6
437,217,usage overage,5,1700.19,8500.95
438,218,add-on seats,9,2044.63,18401.67
439,218,support plan,10,409.64,4096.4
440,219,add-on seats,1,1353.46,1353.46
441,219,support plan,5,1819.7,9098.5
442,219,subscription,9,821.98,7397.82
443,220,usage overage,7,1592.79,11149.53
444,220,add-on seats,4,326.01,1304.04
445,221,support plan,6,769.1,4614.6
446,221,add-on seats,9,1826.73,16440.57
447,222,onboarding services,8,1478.29,11826.32
448,222,support plan,6,1535.97,9215.82
449,222,support plan,9,1602.75,14424.75
450,223,add-on seats,2,1924.35,3848.7
451,224,add-on seats,7,711.63,4981.41
452,225,usage overage,3,1486.14,4458.42
453,225,support plan,3,1345.88,4037.64
454,226,usage overage,10,1470.56,14705.6
455,226,subscription,10,1164.59,11645.9
456,226,support plan,6,511.14,3066.84
457,227,onboarding services,3,767.44,2302.32
458,227,subscription,7,344.26,2409.82
459,228,add-on seats,5,1802.48,9012.4
460,229,support plan,3,1889.49,5668.47
461,229,add-on seats,8,1073.58,8588.64
462,229,onboarding services,9,2028.82,18259.38
463,230,onboarding services,9,1047.76,9429.84
464,231,usage overage,3,1941.36,5824.08
465,232,add-on seats,10,430.6,4306.0
466,232,onboarding services,6,951.76,5710.56
467,233,add-on seats,5,684.35,3421.75
468,233,subscription,9,1604.85,14443.65
469,234,subscription,6,94.33,565.98
470,234,subscription,5,458.84,2294.2
471,235,usage overage,2,968.37,1936.74
472,235,onboarding services,7,1040.19,7281.33
473,236,add-on seats,2,326.41,652.82
474,237,support plan,3,1040.52,3121.56
475,237,usage overage,10,317.95,3179.5
476,238,usage overage,5,455.0,2275.0
477,238,support plan,10,307.24,3072.4
478,238,support plan,1,1826.98,1826.98
479,239,add-on seats,8,380.67,3045.36
480,240,subscription,4,811.03,3244.12
481,240,subscription,7,1574.56,11021.92
482,240,subscription,1,1558.45,1558.45
483,241,subscription,2,124.62,249.24
484,242,add-on seats,1,454.08,454.08
485,242,onboarding services,5,1694.41,8472.05
486,242,subscription,8,1526.35,12210.8
487,243,usage overage,6,2060.86,12365.16
488,244,usage overage,5,1505.59,7527.95
489,244,onboarding services,3,274.67,824.01
490,244,add-on seats,6,482.98,2897.88
491,245,support plan,2,1949.44,3898.88
492,246,onboarding services,3,1632.42,4897.26
493,246,onboarding services,5,1880.44,9402.2
494,246,subscription,2,1745.69,3491.38
495,247,support plan,4,1515.67,6062.68
496,248,add-on seats,1,2112.34,2112.34
497,248,onboarding services,6,396.62,2379.72
498,248,onboarding services,7,505.85,3540.95
499,249,add-on seats,3,1358.68,4076.04
500,250,subscription,9,1247.65,11228.85
501,250,add-on seats,5,294.68,1473.4
502,250,subscription,3,207.29,621.87
503,251,add-on seats,10,322.49,3224.9
504,252,add-on seats,1,1160.71,1160.71
505,252,onboarding services,6,1593.1,9558.6
506,253,support plan,1,2175.36,2175.36
507,253,subscription,7,901.08,6307.56
508,254,usage overage,8,948.23,7585.84
509,254,usage overage,2,2178.68,4357.36
510,255,onboarding services,9,268.92,2420.28
511,255,subscription,7,156.13,1092.91
512,255,support plan,3,914.74,2744.22
513,256,add-on seats,9,501.05,4509.45
514,257,add-on seats,9,127.08,1143.72
515,257,usage overage,4,534.05,2136.2
516,258,onboarding services,9,282.85,2545.65
517,259,usage overage,7,177.59,1243.13
518,259,usage overage,7,1854.73,12983.11
519,260,onboarding services,7,516.74,3617.18
520,261,support plan,8,1796.28,14370.24
521,261,onboarding services,1,1596.52,1596.52
522,261,onboarding services,5,2172.48,10862.4
523,262,support plan,2,1083.9,2167.8
524,263,add-on seats,4,1189.91,4759.64
525,263,usage overage,5,822.84,4114.2
526,264,subscription,4,1378.17,5512.68
527,264,add-on seats,4,1222.86,4891.44
528,264,add-on seats,8,328.88,2631.04
529,265,usage overage,6,405.62,2433.72
530,265,add-on seats,4,188.02,752.08
531,265,subscription,8,610.61,4884.88
532,266,support plan,4,424.43,1697.72
533,266,add-on seats,3,1734.99,5204.97
534,266,support plan,8,1618.95,12951.6
535,267,add-on seats,4,1150.88,4603.52
536,267,add-on seats,9,419.95,3779.55
537,267,usage overage,9,843.7,7593.3
538,268,subscription,7,314.83,2203.81
539,268,support plan,2,1003.97,2007.94
540,269,add-on seats,10,261.62,2616.2
541,269,onboarding services,1,881.92,881.92
542,269,add-on seats,2,1466.73,2933.46
543,270,support plan,10,349.93,3499.3
544,270,support plan,7,888.83,6221.81
545,270,support plan,7,1116.23,7813.61
546,271,support plan,10,648.77,6487.7
547,272,add-on seats,4,930.38,3721.52
548,272,onboarding services,7,1825.5,12778.5
549,273,usage overage,5,716.18,3580.9
550,273,usage overage,4,829.36,3317.44
551,273,usage overage,2,867.5,1735.0
552,274,subscription,8,1951.33,15610.64
553,274,subscription,2,1760.04,3520.08
554,275,subscription,8,186.13,1489.04
555,276,onboarding services,5,1761.23,8806.15
556,276,usage overage,2,516.83,1033.66
557,277,support plan,2,1846.59,3693.18
558,278,usage overage,7,249.47,1746.29
559,279,onboarding services,8,1593.85,12750.8
560,279,usage overage,4,1053.0,4212.0
561,279,usage overage,9,1509.89,13589.01
562,280,onboarding services,4,813.3,3253.2
563,281,usage overage,3,1098.98,3296.94
564,281,onboarding services,3,568.24,1704.72
565,281,subscription,6,638.11,3828.66
566,282,onboarding services,4,1524.52,6098.08
567,283,subscription,2,2185.55,4371.1
568,283,add-on seats,8,1508.99,12071.92
569,284,support plan,4,1076.41,4305.64
570,285,usage overage,5,1554.32,7771.6
571,285,usage overage,9,256.25,2306.25
572,285,add-on seats,5,428.71,2143.55
573,286,subscription,3,852.11,2556.33
574,286,add-on seats,8,212.85,1702.8
575,287,support plan,9,834.69,7512.21
576,287,usage overage,7,153.03,1071.21
577,287,onboarding services,2,1733.58,3467.16
578,288,subscription,10,908.13,9081.3
579,288,usage overage,6,645.21,3871.26
580,288,add-on seats,7,782.67,5478.69
581,289,add-on seats,8,1720.17,13761.36
582,289,add-on seats,7,90.71,634.97
583,289,add-on seats,2,691.49,1382.98
584,290,support plan,5,1938.41,9692.05
585,290,support plan,6,1885.74,11314.44
586,290,usage overage,1,922.52,922.52
587,291,subscription,8,644.73,5157.84
588,291,add-on seats,4,1317.65,5270.6
589,291,usage overage,3,1104.45,3313.35
590,292,add-on seats,5,1747.87,8739.35
591,293,support plan,9,1728.87,15559.83
592,293,add-on seats,9,2165.84,19492.56
593,293,usage overage,8,1347.13,10777.04
594,294,onboarding services,9,1321.68,11895.12
595,294,add-on seats,7,1471.01,10297.07
596,294,subscription,2,1649.94,3299.88
597,295,usage overage,2,1990.16,3980.32
598,296,onboarding services,10,658.63,6586.3
599,297,usage overage,7,2162.22,15135.54
600,297,support plan,3,1711.79,5135.37
601,297,onboarding services,4,1585.8,6343.2
602,298,usage overage,4,1898.74,7594.96
603,298,support plan,5,2042.46,10212.3
604,299,add-on seats,7,1417.1,9919.7
605,300,add-on seats,8,720.39,5763.12
606,301,add-on seats,8,1524.37,12194.96
607,301,onboarding services,7,1224.73,8573.11
608,301,support plan,2,1685.84,3371.68
609,302,add-on seats,8,181.47,1451.76
610,302,subscription,4,2167.9,8671.6
611,302,support plan,10,873.38,8733.8
612,303,usage overage,9,548.2,4933.8
613,303,usage overage,9,1423.14,12808.26
614,304,usage overage,4,1642.99,6571.96
615,304,usage overage,2,1710.54,3421.08
616,305,support plan,4,489.1,1956.4
617,305,add-on seats,10,874.77,8747.7
618,306,add-on seats,5,1614.73,8073.65
619,306,onboarding services,2,1405.79,2811.58
620,307,usage overage,6,1359.24,8155.44
621,308,support plan,8,1632.61,13060.88
622,308,support plan,3,1571.02,4713.06
623,308,onboarding services,1,294.65,294.65
624,309,subscription,9,1073.54,9661.86
625,310,usage overage,8,1246.08,9968.64
626,310,onboarding services,7,867.82,6074.74
627,311,usage overage,4,1203.21,4812.84
628,311,support plan,5,1871.21,9356.05
629,311,usage overage,1,2110.39,2110.39
630,312,subscription,9,333.68,3003.12
631,312,usage overage,7,961.01,6727.07
632,313,usage overage,2,777.88,1555.76
633,313,subscription,10,1435.88,14358.8
634,314,support plan,5,643.0,3215.0
635,314,usage overage,3,546.64,1639.92
636,314,onboarding services,10,1044.31,10443.1
637,315,support plan,3,1399.43,4198.29
638,315,usage overage,6,1861.86,11171.16
639,315,onboarding services,9,487.5,4387.5
640,316,subscription,6,938.32,5629.92
641,317,usage overage,5,1804.62,9023.1
642,318,subscription,2,457.76,915.52
643,319,add-on seats,3,1675.45,5026.35
644,320,support plan,10,1196.4,11964.0
645,320,add-on seats,5,191.45,957.25
646,321,add-on seats,8,2045.25,16362.0
647,321,support plan,1,85.46,85.46
648,322,support plan,7,104.62,732.34
649,322,support plan,7,595.19,4166.33
650,323,subscription,9,711.62,6404.58
651,323,support plan,10,1865.51,18655.1
652,323,subscription,6,1815.75,10894.5
653,324,subscription,8,1669.85,13358.8
654,325,onboarding services,1,273.93,273.93
655,325,usage overage,5,1241.09,6205.45
656,325,add-on seats,7,1846.73,12927.11
657,326,onboarding services,3,235.02,705.06
658,326,usage overage,4,478.4,1913.6
659,327,support plan,10,1774.01,17740.1
660,327,onboarding services,4,336.13,1344.52
661,328,onboarding services,8,1127.86,9022.88
662,328,usage overage,5,917.86,4589.3
663,329,support plan,2,1092.48,2184.96
664,329,subscription,7,1974.47,13821.29
665,329,subscription,6,268.23,1609.38
666,330,add-on seats,1,456.43,456.43
667,330,subscription,8,333.52,2668.16
668,331,onboarding services,10,1794.8,17948.0
669,332,subscription,10,1179.39,11793.9
670,333,add-on seats,6,565.78,3394.68
671,333,add-on seats,7,1305.17,9136.19
672,334,onboarding services,10,845.67,8456.7
673,335,add-on seats,1,546.68,546.68
674,336,subscription,5,1142.23,5711.15
675,336,onboarding services,8,1258.65,10069.2
676,337,usage overage,6,2069.34,12416.04
677,338,usage overage,9,567.0,5103.0
678,339,support plan,6,1310.06,7860.36
679,339,support plan,5,2057.38,10286.9
680,339,usage overage,8,682.64,5461.12
681,340,add-on seats,2,694.27,1388.54
