bill_id,vendor_id,billed_on,due_on,amount,status
126,79,2023-10-23,2023-11-22,21587.3,paid
127,66,2023-10-03,2023-11-02,24807.33,open
128,49,2024-10-17,2024-11-16,22884.51,paid
129,43,2023-07-02,2023-08-01,4298.11,paid
130,35,2024-09-03,2024-10-03,5139.62,paid
131,65,2024-10-10,2024-11-09,10431.08,paid
132,49,2024-03-02,2024-04-01,7687.31,paid
133,17,2024-08-26,2024-09-25,6190.67,paid
134,28,2023-11-10,2023-12-10,4201.17,open
135,22,2024-10-10,2024-11-09,18948.67,paid
136,60,2023-08-03,2023-09-02,19255.43,paid
137,58,2024-11-23,2024-12-23,16936.29,paid
138,25,2024-04-09,2024-05-09,24368.28,paid
139,70,2024-06-16,2024-07-16,20411.9,paid
140,65,2023-08-19,2023-09-18,12359.25,overdue
141,80,2024-01-20,2024-02-19,14743.47,paid
142,42,2024-06-06,2024-07-06,5386.17,open
143,45,2024-12-26,2025-01-25,4783.71,paid
144,4,2024-04-06,2024-05-06,1656.58,paid
145,6,2024-11-29,2024-12-29,16762.68,paid
146,80,2024-01-22,2024-02-21,24825.59,paid
147,10,2024-11-01,2024-12-01,4866.41,paid
148,24,2024-08-26,2024-09-25,4459.08,paid
149,60,2023-12-01,2023-12-31,6236.17,paid
150,79,2024-10-04,2024-11-03,24278.02,paid
151,47,2024-01-17,2024-02-16,21773.0,paid
152,68,2024-05-31,2024-06-30,23538.11,paid
153,67,2024-11-15,2024-12-15,24895.55,paid
154,68,2024-05-09,2024-06-08,17621.14,paid
155,56,2024-10-30,2024-11-29,8757.88,paid
156,39,2023-08-20,2023-09-19,18089.34,paid
157,67,2023-11-14,2023-12-14,18627.64,paid
158,33,2024-07-29,2024-08-28,20217.04,paid
159,62,2024-04-29,2024-05-29,14223.39,paid
160,45,2024-01-08,2024-02-07,7138.56,paid
161,1,2024-04-26,2024-05-26,2382.41,paid
162,2,2024-04-21,2024-05-21,19507.76,open
163,33,2023-09-24,2023-10-24,17703.14,open
164,6,2023-12-12,2024-01-11,1092.13,paid
165,35,2024-07-22,2024-08-21,12742.56,paid
166,51,2024-03-16,2024-04-15,22485.67,paid
167,42,2024-07-17,2024-08-16,1059.78,paid
168,16,2023-10-25,2023-11-24,10024.79,paid
169,31,2023-07-12,2023-08-11,20934.87,paid
170,68,2023-08-25,2023-09-24,15452.84,paid
171,69,2024-10-19,2024-11-18,22936.48,paid
172,24,2023-11-22,2023-12-22,15922.75,paid
173,7,2024-11-22,2024-12-22,11624.68,paid
174,36,2024-07-05,2024-08-04,22197.84,paid
175,30,2024-11-06,2024-12-06,8160.66,paid
176,48,2024-07-14,2024-08-13,12002.39,paid
177,58,2023-09-10,2023-10-10,8530.68,paid
178,52,2024-06-26,2024-07-26,3898.73,paid
179,33,2024-04-11,2024-05-11,13963.63,paid
180,64,2024-02-17,2024-03-18,21526.05,overdue
181,47,2024-03-25,2024-04-24,23057.66,paid
182,57,2023-11-30,2023-12-30,20322.52,paid
183,33,2023-07-28,2023-08-27,20171.88,paid
184,48,2024-07-09,2024-08-08,18775.13,open
185,36,2024-01-10,2024-02-09,16740.7,overdue
186,20,2024-11-15,2024-12-15,6744.78,paid
187,23,2024-02-21,2024-03-22,6035.95,paid
188,40,2024-06-09,2024-07-09,20145.53,paid
189,56,2024-04-23,2024-05-23,24066.42,paid
190,59,2024-03-06,2024-04-05,23179.53,paid
191,20,2024-05-05,2024-06-04,18191.36,paid
192,42,2024-11-06,2024-12-06,5239.14,paid
193,45,2024-09-24,2024-10-24,24636.88,paid
194,9,2024-09-26,2024-10-26,1113.59,paid
195,74,2024-03-22,2024-04-21,17003.8,paid
196,71,2023-07-28,2023-08-27,13040.4,paid
197,67,2024-06-02,2024-07-02,13386.49,paid
198,75,2023-11-12,2023-12-12,9271.29,paid
199,54,2024-03-15,2024-04-14,24536.33,paid
200,70,2023-12-27,2024-01-26,21866.11,paid
201,53,2024-12-20,2025-01-19,14410.63,paid
202,57,2024-04-24,2024-05-24,7056.7,open
203,31,2023-07-10,2023-08-09,4766.45,paid
204,47,2024-01-30,2024-02-29,24771.8,paid
205,74,2023-10-26,2023-11-25,13869.0,paid
206,63,2024-12-05,2025-01-04,19258.83,paid
207,70,2024-08-14,2024-09-13,13147.71,paid
208,65,2024-05-02,2024-06-01,4072.18,paid
209,67,2023-10-23,2023-11-22,9495.26,paid
210,31,2024-11-13,2024-12-13,14992.16,paid
211,27,2024-02-06,2024-03-07,7719.61,paid
212,14,2024-01-15,2024-02-14,17329.14,paid
213,43,2024-12-25,2025-01-24,20769.57,paid
214,65,2024-04-23,2024-05-23,14205.84,paid
215,18,2023-12-13,2024-01-12,2039.81,paid
216,55,2023-11-03,2023-12-03,6562.2,paid
217,70,2024-04-03,2024-05-03,8610.53,paid
218,32,2024-12-11,2025-01-10,8335.02,paid
219,49,2024-10-24,2024-11-23,20732.15,paid
220,26,2024-01-24,2024-02-23,11237.56,paid
221,54,2023-07-17,2023-08-16,7998.83,paid
222,69,2024-01-08,2024-02-07,3508.36,paid
223,14,2024-06-13,2024-07-13,9481.14,paid
224,74,2024-12-14,2025-01-13,8835.34,paid
225,3,2024-11-16,2024-12-16,8238.36,paid
226,42,2024-11-29,2024-12-29,24834.76,paid
227,3,2024-11-24,2024-12-24,10294.19,paid
228,77,2024-04-13,2024-05-13,11541.12,paid
229,19,2024-11-28,2024-12-28,12531.32,paid
230,10,2023-11-19,2023-12-19,19613.76,paid
231,78,2024-03-28,2024-04-27,13729.92,paid
232,48,2024-05-13,2024-06-12,20043.46,paid
233,71,2023-07-16,2023-08-15,13448.82,paid
234,29,2024-01-24,2024-02-23,19493.7,paid
235,62,2023-09-16,2023-10-16,9568.68,paid
236,79,2024-09-07,2024-10-07,21231.88,overdue
237,50,2024-12-25,2025-01-24,3458.96,open
238,49,2024-04-04,2024-05-04,7284.31,paid
239,22,2023-12-24,2024-01-23,12829.83,paid
240,13,2024-07-20,2024-08-19,3327.47,paid
241,34,2024-04-21,2024-05-21,4431.61,paid
242,71,2023-08-13,2023-09-12,19168.71,paid
243,57,2024-04-24,2024-05-24,8081.25,paid
244,70,2024-10-19,2024-11-18,8414.23,paid
245,40,2024-07-19,2024-08-18,11046.28,paid
246,30,2024-12-23,2025-01-22,13502.9,paid
247,22,2023-12-28,2024-01-27,17629.63,paid
248,38,2024-02-01,2024-03-02,24062.69,paid
249,7,2024-03-15,2024-04-14,10685.3,paid
250,40,2024-03-24,2024-04-23,3537.86,paid
251,31,2023-10-16,2023-11-15,9239.33,paid
252,70,2023-07-22,2023-08-21,16598.82,paid
253,64,2024-07-09,2024-08-08,10454.7,paid
254,72,2024-09-28,2024-10-28,4310.59,paid
255,58,2023-09-27,2023-10-27,21579.83,overdue
256,24,2024-02-08,2024-03-09,3302.94,paid
257,17,2024-12-21,2025-01-20,19793.34,open
258,42,2024-12-29,2025-01-28,4632.65,paid
259,49,2024-06-16,2024-07-16,2964.27,open
260,16,2024-09-05,2024-10-05,15589.53,paid
261,59,2024-07-31,2024-08-30,5247.33,paid
262,10,2024-01-23,2024-02-22,10032.14,paid
263,54,2023-08-08,2023-09-07,7816.85,paid
264,14,2024-06-14,2024-07-14,5568.05,paid
265,40,2024-06-06,2024-07-06,14303.25,overdue
266,6,2023-10-10,2023-11-09,3375.96,paid
267,58,2024-06-10,2024-07-10,22331.87,overdue
268,14,2023-07-29,2023-08-28,15780.46,paid
269,11,2024-01-14,2024-02-13,20590.04,paid
270,4,2024-11-11,2024-12-11,4562.05,open
271,42,2023-07-19,2023-08-18,2423.53,paid
272,26,2024-05-14,2024-06-13,21033.42,paid
273,45,2024-05-28,2024-06-27,8557.9,paid
274,7,2024-11-19,2024-12-19,797.1,paid
275,62,2024-07-13,2024-08-12,15455.82,paid
276,20,2024-12-08,2025-01-07,24606.68,paid
277,41,2024-02-19,2024-03-20,8812.29,paid
278,67,2024-03-06,2024-04-05,7204.99,paid
279,31,2024-11-21,2024-12-21,17728.43,overdue
280,72,2023-09-24,2023-10-24,7948.7,paid
281,69,2024-07-21,2024-08-20,15163.48,paid
282,54,2024-07-11,2024-08-10,18414.91,paid
283,58,2024-10-10,2024-11-09,3111.96,paid
284,77,2024-06-28,2024-07-28,11836.85,paid
285,7,2024-01-12,2024-02-11,5532.19,open
286,77,2024-12-02,2025-01-01,15182.68,paid
287,9,2023-10-01,2023-10-31,1081.87,paid
288,73,2024-04-07,2024-05-07,18099.28,paid
289,43,2023-11-29,2023-12-29,18410.66,paid
290,20,2024-09-29,2024-10-29,6861.36,paid
291,33,2024-02-12,2024-03-13,23424.09,paid
292,16,2023-08-24,2023-09-23,3822.91,paid
293,64,2024-05-30,2024-06-29,20985.57,paid
294,44,2024-03-01,2024-03-31,13497.86,paid
295,15,2023-08-16,2023-09-15,18672.56,paid
296,38,2024-08-17,2024-09-16,21012.19,paid
297,27,2024-06-06,2024-07-06,23589.15,paid
298,36,2024-05-06,2024-06-05,4249.26,paid
299,26,2024-06-09,2024-07-09,10321.42,paid
300,47,2023-08-27,2023-09-26,16745.16,open
301,29,2023-08-04,2023-09-03,24928.89,paid
302,79,2023-08-22,2023-09-21,16784.29,paid
303,73,2023-10-23,2023-11-22,2428.82,paid
304,76,2024-06-07,2024-07-07,738.13,paid
305,16,2024-05-01,2024-05-31,2881.94,paid
306,42,2023-08-11,2023-09-10,9448.7,paid
307,28,2023-10-27,2023-11-26,2852.42,paid
308,56,2024-09-25,2024-10-25,17343.83,paid
309,77,2023-10-05,2023-11-04,16295.78,paid
310,15,2023-10-24,2023-11-23,1890.72,paid
311,20,2024-01-29,2024-02-28,12299.99,paid
312,61,2024-10-18,2024-11-17,20989.51,paid
313,21,2023-08-23,2023-09-22,10513.71,paid
314,62,2024-02-04,2024-03-05,18103.98,paid
315,60,2024-10-11,2024-11-10,23840.0,paid
316,35,2023-12-26,2024-01-25,20837.99,paid
317,41,2024-09-24,2024-10-24,15099.35,paid
318,15,2024-12-03,2025-01-02,12859.16,paid
319,8,2023-08-04,2023-09-03,6278.97,paid
320,56,2024-04-23,2024-05-23,24683.1,paid
321,29,2024-07-08,2024-08-07,14948.16,paid
322,77,2024-12-02,2025-01-01,9025.53,paid
323,57,2023-12-05,2024-01-04,7335.45,paid
324,25,2023-10-05,2023-11-04,22329.0,open
325,32,2024-12-26,2025-01-25,15032.02,paid
326,38,2023-07-03,2023-08-02,4390.91,paid
327,55,2024-11-23,2024-12-23,22489.57,paid
328,64,2024-10-22,2024-11-21,7583.03,paid
329,36,2024-06-22,2024-07-22,568.57,paid
330,23,2023-08-05,2023-09-04,4087.41,paid
331,59,2024-09-24,2024-10-24,12644.73,paid
332,9,2023-07-19,2023-08-18,21925.22,paid
333,2,2023-12-01,2023-12-31,9103.95,paid
334,56,2023-10-07,2023-11-06,19659.08,paid
335,25,2024-09-24,2024-10-24,17458.71,paid
336,53,2023-10-31,2023-11-30,5119.93,paid
337,7,2024-10-27,2024-11-26,15402.79,paid
338,4,2024-02-13,2024-03-14,6030.04,paid
339,6,2024-07-13,2024-08-12,16173.1,paid
340,41,2023-10-22,2023-11-21,11867.55,paid
341,12,2023-09-14,2023-10-14,7967.79,paid
342,80,2024-04-15,2024-05-15,10312.99,paid
343,20,2024-05-23,2024-06-22,24147.9,paid
344,72,2024-07-01,2024-07-31,4471.0,paid
345,20,2024-03-29,2024-04-28,7566.5,paid
346,45,2023-07-23,2023-08-22,22605.98,paid
347,27,2023-08-27,2023-09-26,11281.38,paid
348,10,2024-09-19,2024-10-19,7583.14,paid
349,80,2023-08-28,2023-09-27,1172.64,paid
350,19,2024-03-11,2024-04-10,23126.96,paid
351,75,2023-08-21,2023-09-20,752.21,open
352,18,2024-12-05,2025-01-04,8950.71,paid
353,71,2024-11-25,2024-12-25,13870.01,paid
354,60,2023-09-02,2023-10-02,9570.46,paid
355,38,2023-10-21,2023-11-20,22316.41,paid
356,56,2024-02-21,2024-03-22,5390.51,paid
357,27,2023-11-23,2023-12-23,6788.51,open
358,76,2023-09-16,2023-10-16,13161.27,paid
359,62,2023-09-28,2023-10-28,4032.49,paid
360,49,2023-08-13,2023-09-12,1867.67,paid
361,53,2023-07-23,2023-08-22,14496.68,open
362,15,2024-08-14,2024-09-13,18958.65,paid
363,27,2024-01-11,2024-02-10,12244.21,paid
364,73,2024-11-10,2024-12-10,8281.69,paid
365,64,2023-07-30,2023-08-29,7885.41,paid
366,68,2024-01-25,2024-02-24,6866.71,paid
367,60,2024-08-12,2024-09-11,19786.27,paid
368,32,2024-06-14,2024-07-14,16059.31,paid
369,60,2024-11-03,2024-12-03,7874.13,paid
370,51,2024-01-01,2024-01-31,23276.48,open
371,2,2024-07-09,2024-08-08,5401.86,overdue
372,71,2024-06-30,2024-07-30,2363.55,open
373,37,2024-06-23,2024-07-23,23051.97,paid
374,35,2024-06-03,2024-07-03,4665.16,paid
375,35,2023-08-29,2023-09-28,18214.75,paid
376,12,2024-03-28,2024-04-27,14181.28,paid
377,57,2024-02-08,2024-03-09,2745.18,paid
378,22,2023-08-13,2023-09-12,10782.9,paid
379,33,2023-10-05,2023-11-04,13853.61,paid
380,52,2024-10-21,2024-11-20,5197.59,open
381,16,2024-11-11,2024-12-11,21052.68,overdue
382,41,2024-11-18,2024-12-18,7853.39,paid
383,71,2024-10-31,2024-11-30,23620.36,paid
384,25,2024-05-30,2024-06-29,8125.04,paid
385,22,2023-10-15,2023-11-14,23813.29,paid
386,65,2024-03-27,2024-04-26,11711.22,paid
387,8,2023-12-27,2024-01-26,12394.11,paid
388,7,2024-07-11,2024-08-10,18951.99,paid
389,51,2024-03-25,2024-04-24,16448.87,paid
390,1,2024-10-30,2024-11-29,9935.71,paid
391,67,2024-09-05,2024-10-05,19621.31,paid
392,47,2024-10-09,2024-11-08,5924.87,paid
393,49,2024-04-14,2024-05-14,13619.89,paid
394,46,2024-01-14,2024-02-13,3577.8,paid
395,19,2023-12-15,2024-01-14,22912.74,open
396,5,2024-03-24,2024-04-23,13776.22,paid
397,41,2023-07-20,2023-08-19,20433.76,paid
398,59,2024-02-16,2024-03-17,9694.5,paid
399,54,2024-12-18,2025-01-17,2527.58,paid
400,42,2024-01-14,2024-02-13,7504.3,paid
401,39,2023-08-07,2023-09-06,13031.1,overdue
402,69,2024-05-29,2024-06-28,4940.61,paid
403,65,2024-03-03,2024-04-02,8757.85,open
404,12,2023-08-12,2023-09-11,24280.85,paid
405,80,2024-11-03,2024-12-03,19806.84,paid
406,63,2024-08-17,2024-09-16,22114.44,paid
407,45,2024-09-08,2024-10-08,4423.34,open
408,33,2023-10-09,2023-11-08,6037.85,paid
409,63,2023-09-21,2023-10-21,2474.21,paid
410,74,2024-10-18,2024-11-17,15450.54,paid
411,35,2023-12-28,2024-01-27,8234.64,paid
412,18,2023-10-11,2023-11-10,8056.27,paid
413,38,2023-12-08,2024-01-07,15332.32,paid
414,22,2024-07-08,2024-08-07,3865.89,paid
415,12,2024-08-31,2024-09-30,8024.81,paid
416,74,2023-09-30,2023-10-30,14905.24,open
417,48,2023-08-18,2023-09-17,4467.17,paid
418,32,2023-09-18,2023-10-18,6544.66,paid
419,4,2023-09-10,2023-10-10,3253.1,paid
420,62,2024-03-13,2024-04-12,8079.5,paid
421,11,2024-04-19,2024-05-19,588.84,paid
422,34,2023-07-13,2023-08-12,22806.44,open
423,24,2024-12-09,2025-01-08,23996.1,paid
424,55,2024-12-09,2025-01-08,13561.79,paid
425,37,2024-08-12,2024-09-11,17270.43,paid
426,17,2024-01-30,2024-02-29,22660.32,paid
427,15,2024-09-11,2024-10-11,18799.88,paid
428,10,2024-09-28,2024-10-28,22094.76,paid
429,59,2023-09-02,2023-10-02,8336.02,paid
430,6,2023-08-30,2023-09-29,3429.41,overdue
431,66,2024-07-14,2024-08-13,18182.84,open
432,17,2024-09-11,2024-10-11,8961.38,paid
433,5,2024-01-11,2024-02-10,11530.97,paid
434,21,2024-07-17,2024-08-16,17194.54,open
435,68,2024-11-09,2024-12-09,1645.03,paid
436,71,2023-07-15,2023-08-14,10693.28,paid
437,38,2024-09-15,2024-10-15,210.84,open
438,7,2024-06-08,2024-07-08,21360.3,paid
439,49,2024-05-10,2024-06-09,19531.45,paid
440,73,2024-12-20,2025-01-19,12803.83,paid
441,57,2024-10-24,2024-11-23,9876.65,paid
442,44,2024-10-13,2024-11-12,14195.32,paid
443,64,2024-07-08,2024-08-07,9086.98,paid
444,14,2024-04-06,2024-05-06,17427.77,paid
445,79,2024-07-08,2024-08-07,9504.31,overdue
446,52,2024-01-10,2024-02-09,20865.17,paid
447,20,2023-12-03,2024-01-02,16076.69,open
448,58,2023-07-04,2023-08-03,775.23,paid
449,61,2024-03-11,2024-04-10,734.8,open
450,44,2024-09-20,2024-10-20,12687.71,paid
451,68,2023-07-14,2023-08-13,2368.34,paid
452,59,2023-12-30,2024-01-29,17048.16,paid
453,15,2023-08-03,2023-09-02,14267.6,paid
454,38,2023-11-19,2023-12-19,12027.73,paid
455,44,2023-10-23,2023-11-22,4275.55,paid
456,72,2023-08-31,2023-09-30,5639.95,paid
457,47,2024-05-17,2024-06-16,11379.59,paid
458,57,2024-06-14,2024-07-14,24929.14,paid
459,60,2023-12-09,2024-01-08,12555.12,paid
460,63,2024-12-13,2025-01-12,6192.53,paid
461,10,2023-10-07,2023-11-06,16386.61,paid
462,13,2024-01-08,2024-02-07,10571.17,paid
463,69,2024-07-24,2024-08-23,23809.71,paid
464,75,2024-04-30,2024-05-30,8827.01,paid
465,41,2023-07-21,2023-08-20,20920.12,paid
466,71,2024-03-08,2024-04-07,6703.31,paid
467,37,2024-07-03,2024-08-02,3279.61,paid
468,9,2023-11-08,2023-12-08,2750.83,paid
469,7,2024-08-25,2024-09-24,16168.33,overdue
470,23,2024-08-28,2024-09-27,17073.9,open
471,79,2024-02-15,2024-03-16,1313.05,paid
472,72,2024-08-17,2024-09-16,13224.51,paid
473,1,2024-08-27,2024-09-26,13899.45,paid
474,69,2023-08-15,2023-09-14,11628.43,paid
475,67,2024-08-19,2024-09-18,22807.74,paid
476,24,2023-08-12,2023-09-11,16309.09,paid
477,57,2024-11-11,2024-12-11,19606.52,paid
478,62,2024-04-04,2024-05-04,6451.15,paid
479,72,2023-09-07,2023-10-07,3915.82,paid
480,73,2024-11-22,2024-12-22,7278.18,paid
481,67,2023-08-27,2023-09-26,13996.44,paid
482,46,2023-11-30,2023-12-30,23310.91,paid
483,19,2024-09-28,2024-10-28,804.17,paid
484,40,2023-11-02,2023-12-02,4042.28,paid
485,2,2023-10-07,2023-11-06,14130.29,paid
486,13,2023-12-27,2024-01-26,16332.64,paid
487,72,2024-12-02,2025-01-01,3021.66,paid
488,22,2023-07-08,2023-08-07,4712.67,paid
489,26,2024-03-15,2024-04-14,1028.44,paid
490,21,2023-08-02,2023-09-01,8624.99,paid
491,56,2024-08-28,2024-09-27,7565.68,paid
492,28,2024-03-13,2024-04-12,17427.9,paid
493,2,2024-09-07,2024-10-07,11173.37,paid
494,27,2024-01-04,2024-02-03,24858.09,open
495,31,2024-08-31,2024-09-30,874.86,paid
496,57,2023-10-13,2023-11-12,2700.09,paid
497,34,2024-12-14,2025-01-13,17122.06,paid
498,37,2024-09-21,2024-10-21,9619.56,overdue
499,7,2023-07-18,2023-08-17,2326.0,paid
500,44,2023-07-23,2023-08-22,17729.07,paid
501,52,2024-10-31,2024-11-30,6536.95,paid
502,39,2024-08-27,2024-09-26,22813.89,open
503,47,2024-07-01,2024-07-31,10532.8,paid
504,79,2024-02-24,2024-03-25,11254.04,open
505,51,2024-06-04,2024-07-04,21487.82,paid
506,28,2023-09-29,2023-10-29,20408.1,paid
507,25,2024-08-11,2024-09-10,14222.34,paid
508,66,2024-01-12,2024-02-11,15611.59,paid
509,35,2024-02-29,2024-03-30,21189.2,paid
510,13,2024-12-04,2025-01-03,7838.26,paid
511,46,2023-09-22,2023-10-22,14757.19,paid
512,50,2024-09-09,2024-10-09,8521.24,paid
513,44,2024-03-30,2024-04-29,12882.16,paid
514,60,2024-11-18,2024-12-18,13109.43,paid
515,42,2024-08-02,2024-09-01,17572.4,open
516,18,2024-06-20,2024-07-20,2350.39,paid
517,31,2024-05-12,2024-06-11,8406.86,open
518,56,2024-12-26,2025-01-25,14729.64,paid
519,11,2024-03-13,2024-04-12,12826.61,paid
520,26,2024-08-27,2024-09-26,24437.9,paid
521,42,2024-10-17,2024-11-16,7708.38,paid
522,76,2024-04-25,2024-05-25,18531.23,paid
523,61,2023-09-28,2023-10-28,4139.7,paid
524,12,2024-06-18,2024-07-18,3128.09,open
525,25,2024-07-09,2024-08-08,8766.19,paid
526,15,2024-12-01,2024-12-31,7724.14,paid
527,60,2024-05-18,2024-06-17,13084.89,paid
528,16,2023-10-13,2023-11-12,7527.35,paid
529,51,2023-11-01,2023-12-01,21299.72,paid
530,29,2024-03-15,2024-04-14,14953.53,open
531,47,2024-07-10,2024-08-09,24216.44,paid
532,75,2024-10-25,2024-11-24,2099.55,paid
533,56,2024-12-29,2025-01-28,4899.4,paid
534,44,2024-08-21,2024-09-20,22580.24,paid
535,55,2024-09-15,2024-10-15,9427.64,paid
536,28,2023-10-20,2023-11-19,12648.35,paid
537,15,2024-05-21,2024-06-20,8816.36,paid
538,31,2023-12-05,2024-01-04,3085.97,paid
