expense_id,incurred_on,department,category,amount,description
242,2023-07-23,Product,cloud,2751.19,client dinner
243,2024-04-14,Engineering,recruiting,1464.35,training course
244,2024-03-27,Engineering,recruiting,3747.33,cloud overage
245,2024-03-03,Marketing,events,1832.68,laptop
246,2024-03-24,People,training,1122.35,client dinner
247,2024-02-20,Support,training,3383.74,client dinner
248,2024-09-04,People,events,3545.4,conference travel
249,2024-11-06,Marketing,training,2517.33,team offsite
250,2023-08-28,Product,training,2090.11,client dinner
251,2024-12-25,People,software,3635.36,training course
252,2023-08-22,Operations,travel,2755.89,training course
253,2024-10-22,Finance,training,2277.19,training course
254,2023-09-11,Product,software,1807.57,training course
255,2024-05-09,Marketing,travel,2568.92,training course
256,2023-09-04,Product,cloud,1493.58,conference travel
257,2023-08-08,Product,office,3463.5,conference travel
258,2023-09-08,Product,travel,2375.49,client dinner
259,2023-08-28,Finance,training,1133.54,team offsite
260,2024-12-17,Operations,office,227.97,conference travel
261,2024-01-04,Sales,events,1884.27,cloud overage
262,2023-12-04,People,software,1663.31,client dinner
263,2024-02-02,Marketing,events,1184.82,laptop
264,2024-11-11,Marketing,recruiting,3796.22,laptop
265,2023-07-31,Finance,recruiting,1700.19,laptop
266,2024-11-20,Engineering,travel,1961.58,client dinner
267,2024-05-11,Support,office,2170.08,client dinner
268,2024-08-23,People,software,3387.89,training course
269,2024-09-07,Marketing,office,378.61,training course
270,2024-12-03,Finance,travel,3554.42,cloud overage
271,2024-09-21,Sales,office,153.58,training course
272,2024-08-16,Marketing,travel,3526.64,conference travel
273,2024-05-06,Support,office,378.48,client dinner
274,2024-03-31,Support,travel,830.39,job board
275,2023-08-30,Finance,software,620.49,job board
276,2023-07-09,Sales,software,3726.32,client dinner
277,2023-07-30,People,software,2261.0,laptop
278,2023-10-02,Sales,office,1624.9,cloud overage
279,2024-05-31,Sales,software,1401.23,job board
280,2024-01-01,Operations,training,332.98,training course
281,2023-07-28,Operations,office,2136.84,training course
282,2024-08-31,Sales,recruiting,3682.53,team offsite
283,2024-03-25,Finance,recruiting,881.33,team offsite
284,2024-11-12,Product,office,3856.78,cloud overage
285,2024-05-19,Sales,recruiting,3420.24,laptop
286,2024-05-12,Support,cloud,2376.49,conference travel
287,2023-09-07,People,software,1410.99,team offsite
288,2023-12-13,Product,events,1195.95,client dinner
289,2024-07-09,Product,cloud,1147.81,cloud overage
290,2023-08-21,Sales,cloud,1090.95,cloud overage
291,2024-01-09,Marketing,events,1410.89,client dinner
292,2023-11-07,Engineering,software,462.33,conference travel
293,2024-02-12,People,software,576.56,training course
294,2023-07-12,Engineering,training,112.85,job board
295,2024-09-16,People,travel,3581.79,training course
296,2024-10-13,Finance,office,2469.92,conference travel
297,2023-12-23,Finance,training,2321.85,team offsite
298,2024-12-07,Support,recruiting,41.85,job board
299,2024-02-22,Operations,office,523.61,client dinner
300,2023-11-05,Engineering,office,1506.01,training course
301,2023-12-18,Engineering,recruiting,2303.37,laptop
302,2024-06-04,Sales,travel,1998.29,team offsite
303,2023-12-23,People,training,2022.69,cloud overage
304,2024-12-28,People,office,1877.99,training course
305,2023-10-31,Support,software,2302.02,cloud overage
306,2023-07-16,Engineering,travel,122.74,job board
307,2024-11-18,Operations,events,2190.82,client dinner
308,2024-10-01,Finance,office,1232.67,conference travel
309,2024-03-06,People,training,841.22,training course
310,2024-10-18,Sales,travel,2220.1,laptop
311,2023-10-17,Operations,events,3278.43,conference travel
312,2024-03-11,People,travel,3833.44,client dinner
313,2024-12-08,People,events,2349.95,conference travel
314,2023-07-01,Finance,cloud,3036.8,training course
315,2024-02-13,Sales,recruiting,3049.54,laptop
316,2024-02-26,Sales,cloud,3121.87,training course
317,2024-06-28,Operations,office,1113.17,training course
318,2024-04-15,Product,cloud,220.69,training course
319,2023-08-26,Finance,events,2482.23,client dinner
320,2024-10-29,People,cloud,2342.55,cloud overage
321,2024-12-26,Engineering,software,935.87,cloud overage
322,2023-07-26,Engineering,office,2243.48,training course
323,2024-03-28,Support,events,467.61,job board
324,2024-12-20,Operations,training,3285.76,team offsite
325,2023-12-10,Marketing,events,930.11,cloud overage
326,2024-12-28,Engineering,cloud,1180.1,laptop
327,2024-02-21,People,events,101.86,team offsite
328,2023-09-09,Sales,events,3465.53,team offsite
329,2024-08-26,Finance,training,3478.66,job board
330,2024-08-09,Marketing,recruiting,2347.94,team offsite
331,2023-12-11,Marketing,travel,3450.72,team offsite
332,2024-02-26,Finance,events,448.09,team offsite
333,2024-02-10,Product,training,759.6,cloud overage
334,2024-01-05,Operations,software,503.14,conference travel
335,2024-01-23,Support,software,3193.69,client dinner
336,2024-01-09,Marketing,events,2654.62,training course
337,2024-08-20,Marketing,recruiting,1516.09,team offsite
338,2024-03-05,Sales,events,2809.38,client dinner
339,2024-12-10,Operations,office,1779.59,laptop
340,2024-02-23,Finance,office,2967.44,job board
341,2024-09-23,Engineering,office,1403.25,training course
342,2024-05-05,Product,training,182.12,laptop
343,2023-07-14,Finance,events,2409.35,laptop
344,2023-07-29,Engineering,training,3921.37,job board
345,2024-07-13,Operations,events,2887.82,laptop
346,2024-09-06,People,events,1511.23,job board
347,2024-09-14,Engineering,office,1092.19,training course
348,2023-11-21,Marketing,cloud,3522.71,job board
349,2023-08-23,Support,cloud,2161.03,conference travel
350,2024-02-24,Engineering,cloud,577.4,client dinner
351,2024-07-14,Operations,software,199.83,client dinner
352,2024-03-25,Operations,recruiting,2029.4,team offsite
353,2024-01-07,Product,cloud,1256.55,client dinner
354,2024-06-09,Sales,training,3070.85,laptop
355,2024-11-02,Marketing,cloud,2315.84,cloud overage
356,2023-07-18,Finance,recruiting,888.49,laptop
357,2024-03-23,Product,office,3145.29,training course
358,2024-01-25,Marketing,training,567.85,conference travel
359,2023-10-21,Sales,software,1083.73,training course
360,2023-08-12,People,training,2644.55,laptop
361,2024-08-10,Engineering,cloud,2324.84,conference travel
362,2024-02-10,Sales,training,33.81,conference travel
363,2023-10-08,People,software,3389.15,laptop
364,2024-12-12,Product,cloud,2605.87,team offsite
365,2023-12-18,Sales,travel,1981.59,client dinner
366,2023-07-28,Support,events,1299.93,job board
367,2023-10-19,Finance,office,1830.76,job board
368,2023-12-15,Sales,travel,1211.47,job board
369,2023-12-22,Engineering,software,364.04,client dinner
370,2023-07-20,Marketing,office,1459.5,job board
371,2024-01-06,Engineering,training,3759.25,conference travel
372,2023-12-17,Product,cloud,514.45,cloud overage
373,2023-07-25,Sales,software,3051.95,job board
374,2023-08-01,Engineering,recruiting,585.28,client dinner
375,2024-07-04,Support,office,1665.7,client dinner
376,2023-11-18,People,travel,1094.1,client dinner
377,2023-08-01,Product,cloud,1732.04,training course
378,2024-09-30,Engineering,travel,3836.66,conference travel
379,2024-06-30,Operations,events,2562.18,team offsite
380,2024-02-26,Sales,software,3580.18,conference travel
381,2023-07-16,Product,training,2765.52,laptop
382,2024-12-29,Operations,cloud,3824.26,team offsite
383,2023-07-17,Operations,recruiting,785.87,job board
384,2024-02-27,Product,events,908.06,conference travel
385,2024-03-08,Sales,travel,2027.64,job board
386,2024-05-10,Operations,cloud,1119.08,training course
387,2024-04-18,Marketing,training,3190.85,cloud overage
388,2024-06-27,Marketing,office,1674.61,training course
389,2024-03-12,Product,training,1814.18,training course
390,2024-08-30,Product,events,2299.49,team offsite
391,2023-08-08,People,training,382.58,client dinner
392,2024-02-27,Finance,software,1427.73,training course
393,2024-09-25,Product,software,2851.75,job board
394,2024-12-03,People,software,2427.28,cloud overage
395,2023-09-07,Finance,training,2736.18,team offsite
396,2023-08-11,Operations,office,2628.21,client dinner
397,2023-08-10,People,recruiting,152.22,cloud overage
398,2024-02-02,Sales,recruiting,1975.09,conference travel
399,2023-10-10,Support,travel,1792.74,training course
400,2024-10-10,Operations,travel,3719.02,client dinner
401,2024-10-31,Marketing,recruiting,1559.61,cloud overage
402,2024-11-23,Product,recruiting,3432.86,client dinner
403,2023-07-17,Finance,training,423.23,job board
404,2024-03-29,Marketing,cloud,3703.91,laptop
405,2024-09-21,Product,training,3373.77,training course
406,2024-09-28,Product,events,31.56,training course
407,2024-10-28,Engineering,events,3977.69,laptop
408,2023-08-23,Marketing,office,507.81,job board
409,2023-12-22,People,training,3848.21,cloud overage
410,2024-06-20,Finance,software,146.29,team offsite
411,2023-12-02,Engineering,software,673.67,job board
412,2024-07-26,Support,office,2878.67,team offsite
413,2024-06-30,Product,software,1725.56,client dinner
414,2023-12-20,Finance,office,2967.15,team offsite
415,2024-10-14,Sales,travel,2104.18,conference travel
416,2023-07-01,Support,travel,1213.36,training course
417,2024-09-20,Support,cloud,1143.69,cloud overage
418,2024-09-18,Operations,travel,3589.26,laptop
419,2024-12-21,Product,travel,800.34,job board
420,2024-04-07,Finance,travel,3586.78,conference travel
421,2024-10-24,Engineering,travel,1759.89,training course
422,2024-07-07,People,cloud,2283.23,conference travel
423,2023-12-10,People,training,3875.2,conference travel
424,2024-11-27,Operations,recruiting,2264.6,client dinner
425,2023-08-30,Marketing,travel,2026.27,cloud overage
426,2024-06-30,Sales,recruiting,2707.22,laptop
427,2024-08-29,Operations,training,3285.99,conference travel
428,2023-12-08,Sales,events,3562.57,job board
429,2024-07-23,Support,training,2641.98,team offsite
430,2024-10-11,Engineering,events,2081.41,client dinner
431,2024-11-10,Operations,recruiting,2366.26,client dinner
432,2024-09-19,Finance,events,2338.42,client dinner
433,2024-01-17,People,recruiting,1826.05,laptop
434,2024-10-05,Product,cloud,1073.1,client dinner
435,2024-06-27,Product,office,1427.7,training course
436,2023-09-07,Engineering,events,1647.84,client dinner
437,2024-10-31,Support,software,3593.39,job board
438,2023-07-21,Support,training,66.95,job board
439,2024-12-05,Operations,travel,175.47,conference travel
440,2024-10-14,Engineering,events,3984.62,team offsite
441,2023-09-05,Support,software,1547.08,cloud overage
442,2024-12-15,Engineering,training,2473.58,client dinner
443,2024-03-25,Marketing,cloud,2235.8,cloud overage
444,2023-12-22,Product,training,1604.14,laptop
445,2023-11-28,Engineering,cloud,683.65,job board
446,2024-10-27,People,cloud,2453.46,training course
447,2024-12-05,Finance,recruiting,2656.75,job board
448,2023-12-12,People,recruiting,133.94,conference travel
449,2024-12-07,Support,office,3638.86,laptop
450,2024-04-18,Marketing,cloud,1443.9,conference travel
451,2023-10-19,Marketing,cloud,527.99,laptop
452,2024-06-06,Marketing,training,1573.78,laptop
453,2023-09-22,Support,office,730.44,cloud overage
454,2024-08-11,People,office,2166.04,job board
455,2024-03-31,Support,travel,1464.19,laptop
456,2024-07-31,Finance,recruiting,3323.06,team offsite
457,2024-01-01,People,software,3703.86,training course
458,2023-07-28,People,training,1997.61,conference travel
459,2024-12-28,Sales,recruiting,1392.29,client dinner
460,2024-02-07,Product,travel,191.13,laptop
461,2024-12-01,Support,cloud,3885.88,conference travel
462,2024-11-19,Support,training,2784.75,laptop
463,2023-08-21,Support,training,1829.68,client dinner
464,2023-09-25,Support,cloud,1220.62,training course
465,2024-08-02,Sales,cloud,2626.86,client dinner
466,2024-11-27,Product,software,581.51,job board
467,2023-10-24,Marketing,training,269.81,job board
468,2024-01-31,Engineering,recruiting,2944.28,client dinner
469,2024-07-09,Support,office,160.86,job board
470,2023-11-02,Marketing,recruiting,2954.51,cloud overage
471,2023-10-23,People,software,3401.48,team offsite
472,2024-03-31,People,cloud,3868.88,conference travel
473,2023-08-12,Finance,travel,2014.83,training course
474,2023-07-16,Support,events,1990.58,client dinner
475,2023-11-12,Operations,travel,569.21,laptop
476,2024-04-25,Product,recruiting,3248.85,team offsite
477,2024-07-05,People,recruiting,2115.15,conference travel
478,2023-08-13,People,software,1292.49,laptop
479,2024-05-03,Support,office,147.31,training course
480,2024-02-29,Support,travel,3001.02,job board
481,2024-02-01,Product,cloud,2302.51,team offsite
482,2024-03-05,Product,events,1247.77,client dinner
483,2024-06-09,Finance,travel,3489.69,conference travel
484,2023-11-16,Marketing,cloud,3231.47,conference travel
485,2024-05-22,Finance,travel,833.26,laptop
486,2024-02-20,Sales,events,683.61,client dinner
487,2024-03-19,Finance,events,84.61,job board
488,2024-10-16,Product,recruiting,2659.37,cloud overage
489,2023-08-25,Sales,office,1896.93,client dinner
490,2024-07-27,Product,training,3228.31,cloud overage
491,2024-06-08,Marketing,software,126.37,team offsite
492,2024-06-14,Finance,events,3619.0,training course
493,2024-04-17,Finance,software,288.87,team offsite
494,2023-09-02,Support,office,3179.43,laptop
495,2023-08-05,People,travel,3077.66,cloud overage
496,2023-11-25,Support,travel,1933.9,cloud overage
497,2024-12-06,People,recruiting,3628.13,job board
498,2023-10-13,Engineering,travel,2437.62,conference travel
499,2024-06-30,Support,travel,1080.49,conference travel
500,2023-12-28,Marketing,travel,174.57,laptop
501,2024-02-23,Finance,recruiting,1442.25,job board
502,2023-07-21,Product,travel,3182.71,job board
503,2023-08-06,Engineering,cloud,1181.9,laptop
504,2024-10-31,Marketing,travel,134.19,laptop
505,2023-11-16,People,software,3745.18,training course
506,2023-10-23,Sales,office,767.08,conference travel
507,2024-06-14,Support,training,3415.51,job board
508,2024-12-22,Product,travel,3359.91,conference travel
509,2023-12-10,Operations,software,88.64,conference travel
510,2023-12-28,Marketing,training,803.21,laptop
511,2023-07-30,Finance,software,243.01,team offsite
512,2023-10-31,Support,cloud,244.49,training course
513,2023-12-17,Support,office,789.15,conference travel
514,2024-06-01,Engineering,office,2977.91,conference travel
515,2024-10-18,Finance,training,3930.72,team offsite
516,2023-12-02,Support,travel,2512.36,conference travel
517,2023-08-06,Sales,recruiting,1010.85,laptop
518,2023-12-27,Support,recruiting,3712.03,conference travel
519,2023-12-01,Engineering,software,838.47,job board
520,2024-07-04,Sales,cloud,1747.21,team offsite
521,2024-01-31,Marketing,recruiting,1216.82,team offsite
522,2024-07-01,Product,office,1004.46,client dinner
523,2023-08-27,Finance,office,3435.07,conference travel
524,2024-01-01,Support,software,1680.38,laptop
525,2023-08-11,Support,office,2239.11,conference travel
526,2023-09-28,Finance,recruiting,657.46,laptop
527,2024-08-17,Marketing,cloud,833.38,training course
528,2024-12-13,Marketing,office,583.81,team offsite
529,2024-04-02,Sales,events,1016.24,conference travel
530,2024-09-19,Product,office,3594.36,cloud overage
531,2023-12-26,People,travel,2564.6,laptop
532,2024-05-20,Product,cloud,164.89,conference travel
533,2023-12-09,Support,training,3410.69,training course
534,2024-04-13,People,recruiting,1043.18,client dinner
535,2024-10-30,Engineering,cloud,203.01,laptop
536,2024-06-11,Support,recruiting,3861.8,cloud overage
537,2024-08-20,People,cloud,2941.86,conference travel
538,2024-06-10,Marketing,cloud,135.78,job board
539,2023-12-27,Engineering,software,1713.01,conference travel
540,2024-03-04,Marketing,recruiting,302.85,conference travel
541,2023-07-31,Finance,training,419.56,training course
542,2023-10-28,Finance,events,2234.12,training course
543,2023-09-06,Operations,recruiting,2177.86,cloud overage
544,2024-10-28,Engineering,events,551.48,job board
545,2023-10-22,Product,training,1393.34,laptop
546,2023-08-13,Support,cloud,560.37,client dinner
547,2024-08-03,Product,recruiting,2763.87,training course
548,2023-08-09,Operations,recruiting,3647.54,cloud overage
549,2024-01-28,Sales,events,1898.98,cloud overage
550,2023-11-23,Engineering,recruiting,60.84,cloud overage
551,2023-08-06,Engineering,office,1253.37,client dinner
552,2024-11-23,People,events,2768.68,cloud overage
553,2024-06-14,Support,office,1448.56,cloud overage
554,2024-08-29,Finance,events,1724.24,cloud overage
555,2023-11-07,Marketing,software,1401.29,cloud overage
556,2024-06-12,Engineering,software,2918.78,client dinner
557,2024-09-26,Operations,events,1908.6,cloud overage
558,2024-08-06,Operations,office,2368.48,team offsite
559,2024-09-29,Finance,events,2478.23,laptop
560,2024-03-03,Operations,recruiting,1020.23,job board
561,2024-05-06,Sales,cloud,3803.38,client dinner
562,2023-12-11,Sales,training,2980.16,cloud overage
563,2024-07-02,Marketing,software,1694.25,training course
564,2024-05-17,Sales,recruiting,3446.37,team offsite
