lead_id,campaign_id,created_on,source,status,est_value
45,20,2024-12-03,webinar,qualified,9438.02
46,3,2023-11-23,webinar,won,7008.47
47,18,2024-07-02,content,won,16277.12
48,6,2023-08-14,events,qualified,1664.11
49,7,2024-09-25,outbound,new,9542.89
50,19,2024-12-26,events,won,22047.21
51,14,2024-05-27,events,new,22846.4
52,19,2024-03-28,search,new,3619.39
53,13,2024-10-16,partner,new,17095.88
54,6,2024-01-23,content,qualified,19758.7
55,21,2024-06-28,search,lost,2831.55
56,2,2023-08-25,outbound,new,19777.97
57,22,2023-07-22,content,lost,4131.15
58,3,2024-03-04,outbound,new,18504.3
59,5,2024-03-04,content,won,23575.35
60,15,2024-12-10,search,lost,13564.6
61,14,2024-05-13,partner,won,16305.89
62,8,2024-04-11,partner,new,780.28
63,18,2023-11-11,events,new,9969.93
64,7,2023-12-18,outbound,new,4119.89
65,5,2024-12-10,outbound,lost,18845.07
66,14,2024-11-09,events,qualified,15760.6
67,2,2024-11-14,partner,qualified,15114.55
68,4,2024-04-05,partner,new,10867.36
69,21,2024-11-05,content,won,11217.76
70,19,2024-06-09,events,qualified,23781.26
71,23,2024-03-13,webinar,qualified,20977.48
72,7,2024-08-11,content,new,8554.58
73,14,2023-11-20,content,lost,14871.04
74,11,2024-08-19,partner,lost,3129.88
75,22,2024-10-22,content,lost,18096.44
76,11,2023-09-21,content,lost,10634.13
77,15,2024-10-23,partner,new,2835.43
78,21,2024-02-06,webinar,new,14095.02
79,10,2024-10-13,content,new,19105.08
80,14,2024-08-13,outbound,new,19388.92
81,13,2024-05-16,content,qualified,1642.45
82,18,2023-12-30,events,qualified,3269.45
83,11,2024-12-24,events,lost,10990.79
84,15,2024-01-24,content,new,22578.21
85,22,2024-08-19,content,qualified,5260.41
86,22,2024-09-14,partner,qualified,9112.19
87,18,2024-11-13,search,new,20850.94
88,3,2024-10-09,webinar,won,6314.06
89,10,2024-11-01,content,lost,16741.68
90,16,2024-10-10,webinar,lost,14044.12
91,21,2024-08-15,events,new,20168.64
92,16,2023-10-16,partner,new,14832.88
93,19,2024-09-30,search,qualified,16398.31
94,2,2024-11-18,partner,lost,13222.48
95,2,2023-10-16,outbound,new,3330.52
96,14,2024-09-01,outbound,won,5175.53
97,8,2024-08-20,outbound,qualified,7649.65
98,19,2024-06-08,partner,won,16901.8
99,8,2024-04-22,search,lost,2517.32
100,5,2024-07-05,partner,qualified,9085.56
101,13,2024-10-26,outbound,new,5205.7
102,7,2024-11-13,content,new,4808.98
103,21,2023-12-25,search,won,22210.31
104,9,2024-07-12,events,qualified,1190.48
105,2,2024-10-09,events,new,19171.12
106,16,2024-12-28,search,qualified,16001.64
107,18,2024-11-04,outbound,new,20957.0
108,4,2024-10-20,search,new,18536.1
109,10,2024-10-05,search,lost,15698.73
110,22,2024-11-02,events,new,15752.76
111,8,2024-02-15,content,qualified,23261.55
112,17,2023-10-22,content,lost,15993.72
113,3,2023-08-03,partner,new,22359.58
114,12,2024-05-06,search,won,17203.09
115,14,2024-12-01,content,qualified,19458.49
116,2,2024-12-06,outbound,new,20615.51
117,24,2023-10-27,events,won,21643.01
118,10,2024-06-25,content,qualified,17507.11
119,16,2023-11-27,partner,new,8641.59
120,22,2024-12-18,search,new,11722.66
121,20,2024-10-25,content,lost,6604.69
122,21,2024-05-26,content,qualified,743.79
123,13,2024-01-10,events,qualified,13906.85
124,18,2023-08-19,outbound,lost,7539.29
125,7,2024-05-23,webinar,qualified,10361.12
126,24,2024-10-24,webinar,lost,3877.12
127,23,2024-11-26,outbound,won,16306.09
128,8,2023-08-18,content,qualified,21838.21
129,7,2024-12-07,webinar,new,1505.45
130,24,2024-11-19,webinar,new,5410.76
131,2,2024-04-10,events,new,9333.29
132,10,2024-11-16,content,lost,23372.76
133,16,2024-12-27,outbound,qualified,17396.61
134,2,2024-03-06,content,qualified,12883.04
135,3,2024-12-22,partner,qualified,22227.74
136,10,2023-12-07,webinar,qualified,18452.97
137,3,2024-10-17,partner,qualified,2013.16
138,15,2023-09-19,partner,qualified,1454.8
139,24,2024-05-25,outbound,won,20082.15
140,11,2024-11-16,content,qualified,8105.47
141,10,2023-08-27,outbound,new,17393.37
142,20,2024-04-17,events,new,8682.79
143,15,2024-12-11,webinar,new,13196.63
144,10,2024-11-24,outbound,lost,1324.87
145,14,2024-01-24,outbound,qualified,20148.63
146,19,2024-05-11,webinar,new,6022.17
147,5,2024-10-23,webinar,won,3067.79
148,16,2023-12-12,webinar,qualified,9585.87
149,15,2024-09-03,content,qualified,18450.46
150,18,2023-07-15,outbound,qualified,21034.57
151,10,2024-02-08,content,lost,15594.94
152,14,2023-09-06,partner,new,20374.71
153,13,2024-08-26,outbound,won,4634.43
154,14,2024-11-19,partner,lost,15528.06
155,16,2024-12-26,outbound,qualified,15496.18
156,5,2024-11-08,search,new,23053.61
157,3,2024-12-22,partner,won,11567.3
158,7,2024-03-23,search,new,15828.71
159,1,2024-11-13,outbound,new,10167.19
160,20,2024-10-10,events,lost,8003.9
161,18,2024-10-31,content,new,23033.69
162,17,2024-12-23,webinar,qualified,8012.27
163,17,2023-11-23,outbound,new,6808.26
164,13,2024-12-22,webinar,new,10096.41
165,1,2024-08-16,events,lost,18257.14
166,11,2024-12-02,webinar,qualified,23466.23
167,7,2024-10-24,outbound,qualified,10033.67
168,10,2023-11-16,partner,new,10937.24
169,22,2024-10-07,partner,lost,20617.77
170,5,2024-03-16,search,qualified,1460.65
171,16,2023-10-03,content,won,22346.26
172,12,2024-12-12,partner,qualified,20256.97
173,17,2024-06-06,search,lost,1697.71
174,11,2024-08-22,outbound,new,19890.88
175,10,2023-10-09,events,new,19068.33
176,20,2024-03-15,content,new,17066.04
177,22,2024-12-27,search,won,22610.59
178,18,2024-01-08,events,qualified,12863.57
179,10,2024-09-15,search,qualified,3177.86
180,7,2023-08-19,partner,new,14645.23
181,14,2023-12-21,partner,qualified,8059.4
182,17,2024-12-19,events,qualified,13833.7
183,2,2024-01-24,events,lost,638.36
184,24,2024-06-18,webinar,new,3385.39
185,17,2024-10-05,content,won,5683.21
186,15,2023-09-06,search,lost,21220.85
187,18,2024-10-07,partner,new,21837.99
188,16,2024-04-17,webinar,won,21162.2
189,7,2024-11-28,partner,lost,22584.35
190,12,2024-01-01,search,lost,20361.89
191,13,2024-09-25,partner,won,11121.04
192,8,2024-12-08,outbound,lost,16510.21
193,15,2023-12-17,search,qualified,19609.27
194,14,2023-12-01,webinar,new,9754.0
195,23,2023-08-29,content,lost,13468.59
196,16,2023-11-05,outbound,lost,22868.19
197,20,2024-05-30,outbound,qualified,22058.66
198,18,2024-03-16,events,new,9594.11
199,4,2024-03-31,events,new,20746.73
200,9,2024-08-11,events,lost,14487.9
201,12,2024-12-08,outbound,new,3893.63
202,3,2023-10-18,events,new,17254.79
203,1,2024-10-15,partner,new,9031.92
204,1,2024-05-10,outbound,new,6305.23
205,19,2024-02-14,content,qualified,3019.51
206,14,2023-11-06,outbound,lost,16180.23
207,3,2024-06-24,content,won,7671.34
208,11,2024-07-16,partner,won,5085.91
209,1,2024-02-26,partner,lost,1491.6
210,16,2024-12-13,webinar,new,6991.79
211,12,2024-10-24,partner,qualified,16323.73
212,4,2024-05-30,webinar,qualified,10113.72
213,13,2024-04-14,search,qualified,12203.88
214,10,2023-09-06,search,new,20286.65
215,17,2024-08-02,content,qualified,10723.34
216,15,2024-09-26,webinar,qualified,18941.27
217,13,2024-10-17,outbound,qualified,510.98
218,18,2024-06-10,outbound,new,23613.95
219,15,2024-04-14,webinar,lost,4085.03
220,12,2024-10-23,events,lost,2934.25
221,18,2024-10-01,search,lost,504.59
222,1,2024-11-23,content,new,18347.71
223,18,2024-10-26,outbound,qualified,5365.78
224,6,2023-12-22,outbound,lost,15041.47
225,23,2023-10-29,partner,qualified,1706.43
226,1,2024-11-25,partner,new,6339.9
227,19,2024-01-26,search,new,14209.95
228,7,2024-07-09,events,new,9748.5
229,15,2024-02-20,search,qualified,19033.94
230,16,2024-07-05,webinar,lost,23498.45
231,10,2024-11-10,outbound,won,4578.84
232,13,2024-02-27,webinar,qualified,10432.11
233,1,2024-09-29,webinar,new,11848.23
234,19,2024-03-21,content,won,13485.8
235,5,2023-11-26,events,lost,4608.37
236,3,2024-02-16,outbound,qualified,4682.7
237,24,2024-04-09,search,qualified,11916.09
238,18,2023-11-24,webinar,qualified,22476.76
239,19,2023-07-08,outbound,qualified,2749.18
240,16,2024-07-19,partner,lost,7349.23
241,9,2024-12-03,webinar,won,5142.79
242,21,2024-11-14,outbound,qualified,5092.57
243,4,2024-11-09,outbound,won,14579.49
244,11,2024-06-25,outbound,qualified,14191.73
245,13,2024-06-01,partner,qualified,9394.71
246,22,2024-09-23,webinar,qualified,2194.47
247,2,2024-07-05,search,lost,6948.08
248,8,2024-03-21,outbound,qualified,3776.62
249,10,2024-06-25,outbound,new,20043.55
250,24,2024-02-25,search,new,18230.82
251,8,2024-05-09,partner,lost,5012.92
252,23,2024-08-31,partner,new,6390.23
253,17,2024-07-01,webinar,won,22603.84
254,15,2023-10-21,content,qualified,606.14
255,17,2024-03-24,search,won,9333.89
256,10,2024-09-30,content,new,22938.11
257,12,2024-04-10,partner,new,6993.71
258,21,2024-07-24,partner,qualified,12444.11
259,15,2024-04-02,content,new,11762.37
260,4,2024-11-24,content,new,19721.78
261,24,2024-11-15,search,qualified,16368.72
262,15,2024-06-16,webinar,qualified,20600.55
263,22,2024-10-11,events,won,20401.61
264,12,2024-09-10,partner,qualified,19983.45
265,24,2023-09-02,partner,qualified,4991.25
266,24,2023-08-11,search,won,7532.52
267,6,2024-08-16,content,lost,7591.1
268,5,2024-12-10,outbound,qualified,11109.15
269,22,2023-08-24,webinar,lost,5376.71
270,6,2023-09-06,webinar,qualified,6409.11
271,22,2024-01-14,content,new,8704.46
272,19,2024-01-23,content,won,17145.59
273,16,2024-08-18,partner,qualified,9290.93
274,1,2024-12-14,events,won,19180.15
275,21,2024-11-30,events,won,13933.26
276,14,2024-11-22,partner,qualified,18318.76
277,9,2024-12-06,outbound,new,19296.11
278,17,2023-12-25,search,new,17960.88
279,23,2024-01-16,events,qualified,6059.05
280,15,2024-06-27,partner,qualified,8795.43
281,11,2024-06-27,webinar,lost,9826.2
282,15,2024-02-09,outbound,won,13707.95
283,2,2024-07-09,webinar,new,6177.04
284,17,2024-10-09,search,won,17609.64
285,15,2024-12-25,events,qualified,2546.41
286,9,2024-05-12,search,qualified,17043.34
287,20,2024-05-31,events,new,12852.7
288,22,2023-07-14,webinar,new,14767.66
289,2,2024-01-22,webinar,lost,2426.65
290,3,2023-12-27,partner,won,10777.26
291,8,2024-10-02,webinar,new,22619.19
292,2,2024-06-20,content,qualified,21220.71
293,15,2023-08-05,webinar,qualified,2577.53
294,22,2024-07-16,partner,qualified,17830.7
295,3,2024-10-24,outbound,qualified,11687.41
296,21,2024-12-23,content,qualified,19195.44
297,10,2024-04-02,content,lost,7506.98
298,11,2024-11-19,search,won,15857.54
299,5,2024-08-29,content,lost,3578.3
300,12,2024-11-02,outbound,qualified,4018.31
301,2,2024-11-28,outbound,lost,13053.49
302,17,2024-12-28,search,lost,22583.7
303,7,2024-03-02,webinar,lost,16136.11
304,2,2024-01-21,outbound,lost,3781.57
305,5,2024-10-02,content,qualified,11066.37
306,22,2024-11-04,partner,lost,22794.34
307,14,2024-02-04,search,new,6262.63
308,6,2023-08-17,partner,lost,10289.42
309,24,2024-07-27,content,won,10339.92
310,4,2024-03-26,partner,new,20786.72
311,18,2024-09-09,content,new,6975.59
312,11,2024-02-28,webinar,qualified,15688.4
313,18,2024-03-28,partner,lost,480.9
314,5,2024-03-14,outbound,won,6749.52
315,9,2024-04-28,partner,qualified,8288.71
316,12,2024-09-04,outbound,won,11183.67
317,6,2023-12-21,webinar,qualified,22457.89
318,17,2024-02-19,outbound,qualified,14215.43
319,21,2024-05-15,partner,new,8838.53
320,21,2024-07-16,events,lost,17511.37
321,9,2024-10-24,search,qualified,21633.24
322,13,2023-07-05,events,qualified,15081.66
323,16,2023-12-01,outbound,won,3146.43
324,17,2023-10-09,outbound,new,6736.16
325,8,2024-10-23,outbound,new,9078.88
326,18,2024-09-03,search,qualified,7262.77
327,19,2024-08-09,content,qualified,21952.29
328,14,2024-01-07,content,new,23440.42
329,8,2024-12-17,events,qualified,7608.2
330,16,2023-09-07,search,new,23076.09
331,15,2024-11-19,content,qualified,6674.51
332,12,2024-09-02,partner,qualified,13624.3
333,2,2024-10-25,outbound,lost,18275.81
334,17,2024-06-08,content,new,549.34
335,5,2023-09-07,partner,qualified,9098.24
336,9,2024-04-16,webinar,won,10664.87
337,19,2024-02-10,content,new,8825.66
338,8,2024-11-05,events,qualified,17626.59
339,3,2024-10-02,outbound,lost,17800.79
340,9,2023-08-09,search,lost,16089.98
341,1,2024-09-05,outbound,qualified,22903.4
342,20,2023-11-23,webinar,new,7903.54
343,17,2024-06-23,outbound,new,9554.65
344,22,2023-08-15,content,new,20060.92
345,4,2024-09-08,content,lost,13513.59
346,9,2024-06-24,partner,won,21570.47
347,17,2024-07-15,search,lost,22728.1
348,16,2024-05-09,content,qualified,9497.94
349,6,2023-08-28,content,lost,23809.28
350,18,2024-05-20,search,qualified,17413.53
351,15,2024-07-03,outbound,won,1521.23
352,4,2024-11-28,events,new,18154.86
353,11,2024-05-05,content,lost,22311.54
354,2,2024-10-30,outbound,new,13655.09
355,19,2024-05-19,content,new,1880.9
356,8,2024-12-11,webinar,new,17405.97
357,1,2024-02-15,outbound,new,15735.2
358,6,2024-10-20,content,new,5177.1
359,19,2024-04-01,outbound,won,8200.02
360,12,2024-11-10,webinar,lost,18581.51
361,17,2023-10-16,content,won,6200.71
362,6,2024-12-08,events,new,17196.42
363,10,2024-10-11,partner,qualified,16134.81
364,4,2023-08-25,webinar,qualified,2960.63
365,10,2024-12-13,webinar,won,15192.67
366,8,2024-10-14,partner,qualified,1415.01
367,11,2024-03-03,events,lost,2121.03
368,21,2023-08-15,webinar,qualified,4385.05
369,20,2024-08-04,partner,lost,22814.99
370,5,2024-01-16,events,new,1382.34
371,11,2024-06-27,webinar,new,8460.49
372,19,2024-04-07,search,lost,7899.03
373,8,2024-12-29,search,qualified,17528.97
374,13,2024-10-04,search,qualified,645.11
375,17,2023-12-12,webinar,qualified,1305.0
376,8,2024-11-07,webinar,new,19780.93
377,8,2024-08-24,content,qualified,847.7
378,13,2024-12-24,events,lost,4648.81
379,6,2024-08-08,outbound,won,6133.44
380,7,2023-11-23,content,new,13357.61
381,22,2024-04-14,search,qualified,14965.68
382,17,2024-11-01,webinar,qualified,12328.62
383,17,2023-09-03,search,qualified,3767.98
384,5,2024-05-04,outbound,new,1524.21
385,1,2024-02-20,events,new,1158.06
386,24,2024-02-01,webinar,new,10483.26
387,14,2024-10-17,events,won,19065.54
388,3,2024-12-11,search,lost,17399.09
389,17,2024-10-04,partner,new,15687.15
390,13,2023-12-04,webinar,qualified,2871.76
391,18,2024-02-09,events,lost,10230.06
392,18,2024-08-31,search,qualified,15095.44
393,6,2024-05-09,outbound,lost,1601.86
394,24,2024-03-14,search,lost,18709.84
395,22,2024-09-26,partner,qualified,15903.87
396,8,2024-09-11,outbound,won,11025.92
397,15,2024-01-21,outbound,won,17366.58
398,5,2023-11-07,partner,lost,6921.5
399,8,2024-08-31,webinar,lost,1182.66
400,15,2024-02-25,search,qualified,2231.76
401,20,2024-05-10,events,lost,21992.5
402,17,2024-11-04,search,lost,14180.03
403,17,2024-09-23,search,qualified,9187.64
404,12,2024-11-29,content,new,19292.79
405,8,2024-09-03,content,new,5753.98
406,14,2024-10-22,events,new,6229.94
407,4,2024-11-26,content,qualified,11176.76
408,16,2023-11-30,search,qualified,3871.02
409,12,2024-07-02,events,qualified,7204.85
410,2,2024-11-04,events,qualified,5283.57
411,17,2023-08-24,partner,lost,13090.26
412,18,2024-06-22,partner,won,15899.73
413,10,2024-12-15,search,lost,3739.29
414,2,2023-11-17,webinar,lost,21647.22
415,19,2023-07-17,search,qualified,13505.28
416,21,2024-05-26,search,new,5408.82
417,16,2024-11-18,search,qualified,17377.94
418,8,2024-06-10,webinar,lost,20794.17
419,6,2023-11-26,partner,new,21143.2
420,22,2023-11-19,outbound,new,9965.63
421,12,2024-08-30,events,new,22910.18
422,11,2024-02-06,content,won,9878.77
423,1,2024-11-06,events,lost,13159.46
424,24,2024-06-07,events,lost,3363.88
425,16,2024-05-17,webinar,qualified,5936.24
426,17,2024-04-10,webinar,new,21971.35
427,5,2023-08-13,webinar,new,22403.03
428,18,2024-07-16,webinar,qualified,21437.97
429,6,2024-11-19,webinar,lost,17473.01
430,17,2023-10-04,content,qualified,5497.34
431,5,2024-11-23,content,new,13674.03
432,23,2024-01-08,outbound,qualified,11536.53
433,20,2024-11-16,webinar,lost,5468.0
434,10,2024-04-17,content,qualified,16384.6
435,16,2024-12-28,content,lost,7662.71
436,5,2024-12-24,events,lost,7739.86
437,10,2023-12-31,content,won,12485.39
438,1,2024-02-03,events,lost,13722.88
439,11,2024-09-08,search,qualified,5356.68
440,17,2024-02-21,outbound,won,18636.27
441,5,2024-12-22,content,new,7651.92
442,7,2024-11-10,webinar,new,23717.72
443,10,2024-06-19,content,qualified,1566.2
444,16,2024-08-19,partner,qualified,6599.46
445,18,2024-07-30,events,lost,8493.94
446,22,2023-08-08,events,qualified,21700.44
447,12,2024-02-10,webinar,qualified,1719.75
448,3,2024-12-18,partner,won,17230.18
449,11,2024-12-30,outbound,qualified,15129.35
450,19,2024-11-27,outbound,qualified,19323.89
451,16,2024-12-03,partner,lost,21270.72
452,14,2024-06-19,search,qualified,21662.51
453,17,2023-08-17,partner,new,2431.77
454,4,2023-10-10,content,won,20905.5
455,23,2024-05-21,partner,new,1542.17
456,8,2024-10-21,content,lost,12043.57
457,4,2024-08-14,events,lost,1520.71
458,11,2024-06-04,partner,qualified,479.69
459,3,2024-10-14,outbound,won,19019.85
460,19,2024-02-10,content,new,5300.31
461,1,2024-07-10,partner,new,12963.17
462,6,2024-10-06,webinar,new,5556.69
463,5,2024-09-30,partner,lost,16739.61
464,7,2024-07-09,webinar,won,7692.48
465,3,2023-11-12,search,new,12047.52
466,8,2024-12-15,events,qualified,17601.73
467,24,2024-06-02,events,new,18491.43
468,13,2024-08-06,content,qualified,22306.19
469,1,2024-11-25,events,lost,12360.48
470,16,2024-11-26,outbound,qualified,18223.42
471,17,2024-09-20,events,qualified,20540.1
472,4,2024-05-05,outbound,lost,18670.53
473,15,2024-10-10,events,lost,11010.35
474,13,2024-08-05,search,new,16878.61
475,9,2024-09-06,outbound,qualified,1394.71
476,1,2024-09-18,content,lost,20187.44
477,1,2024-12-04,search,new,6524.48
478,24,2024-07-27,search,lost,18832.98
479,23,2024-12-26,content,won,12363.12
480,10,2024-04-11,webinar,qualified,21014.73
481,10,2024-12-08,webinar,lost,8763.06
482,15,2024-03-09,webinar,qualified,16932.97
483,3,2024-10-18,partner,qualified,22881.83
484,13,2024-12-27,webinar,qualified,10412.45
485,23,2024-10-14,content,new,17406.4
486,16,2024-10-10,webinar,lost,12458.01
487,10,2024-07-16,outbound,lost,5701.71
488,12,2024-01-25,partner,new,7058.1
489,17,2023-10-22,events,new,14592.63
490,11,2023-11-26,search,new,19475.53
491,7,2023-12-07,outbound,new,17664.46
492,7,2024-04-13,events,qualified,12473.91
493,15,2024-08-19,webinar,new,4862.38
494,2,2024-04-27,content,lost,3236.64
495,17,2023-12-08,outbound,new,14909.01
496,2,2024-04-30,outbound,qualified,6083.74
497,11,2023-07-23,content,qualified,16214.2
498,15,2023-09-15,search,qualified,11595.93
499,9,2024-08-01,outbound,qualified,12138.2
500,22,2024-12-05,webinar,lost,14806.02
501,8,2024-10-13,content,qualified,10720.93
502,12,2024-03-21,search,new,6350.37
503,18,2024-03-12,partner,lost,8888.12
504,15,2024-09-18,outbound,qualified,16377.46
505,23,2024-03-12,webinar,qualified,1091.89
506,16,2024-09-14,events,qualified,4819.17
507,2,2024-06-25,content,new,23846.6
508,8,2024-11-21,webinar,new,19949.49
509,5,2024-11-17,partner,won,3959.38
510,7,2024-04-29,outbound,lost,7784.59
511,2,2023-09-23,content,new,20846.59
512,16,2023-12-21,events,new,6886.26
513,11,2024-08-27,search,qualified,15646.55
514,19,2024-11-18,webinar,won,6590.15
515,21,2024-12-06,partner,new,6666.11
516,18,2024-06-10,content,qualified,1115.93
517,24,2024-07-10,outbound,new,944.17
518,4,2024-10-10,search,new,15167.83
519,8,2024-11-06,content,won,17987.01
520,21,2024-11-05,partner,new,8642.38
521,1,2024-02-01,webinar,lost,11334.08
522,2,2024-07-15,events,won,1540.0
523,15,2024-02-02,partner,new,10853.35
524,6,2023-12-21,content,won,22913.27
525,14,2024-07-28,webinar,lost,21122.84
526,2,2024-07-06,search,qualified,21623.36
527,18,2024-05-15,partner,qualified,14375.21
528,23,2023-10-27,search,lost,16755.58
529,19,2024-12-26,content,lost,2530.48
530,14,2023-09-10,content,new,22099.74
531,15,2024-02-28,events,lost,22695.57
532,10,2024-07-14,webinar,new,22468.03
533,6,2024-10-16,events,new,16773.6
534,13,2024-05-18,content,new,19401.55
535,18,2024-05-31,outbound,won,22697.64
536,6,2023-10-05,events,qualified,17350.05
537,23,2024-12-16,search,new,18459.5
538,10,2024-09-02,search,qualified,23511.66
539,20,2023-09-13,outbound,lost,8000.01
540,12,2024-11-19,events,lost,7162.7
541,20,2024-12-01,search,qualified,1268.59
542,14,2024-12-14,webinar,lost,15423.19
543,18,2023-09-18,outbound,qualified,20433.75
544,11,2024-05-30,webinar,new,10466.26
545,24,2023-12-03,events,new,19049.98
546,14,2024-12-15,outbound,lost,23082.24
547,17,2024-07-11,content,lost,17987.13
548,3,2024-10-11,content,qualified,8628.36
549,2,2024-02-07,webinar,new,13665.34
550,19,2024-08-17,events,qualified,8917.55
551,11,2024-10-04,search,qualified,2986.44
552,20,2023-12-22,search,lost,20403.59
553,17,2023-12-16,search,qualified,8844.36
554,10,2024-08-29,search,qualified,11994.42
555,7,2023-07-30,outbound,won,16648.96
556,19,2023-08-17,content,new,8517.67
557,16,2024-05-10,outbound,won,9657.79
558,17,2024-02-19,content,qualified,3813.49
559,5,2024-10-26,partner,lost,12674.72
560,15,2023-09-18,events,lost,10778.06
561,7,2024-12-01,events,qualified,23718.04
562,14,2024-02-09,partner,new,1060.23
563,3,2023-08-18,webinar,lost,9899.19
564,16,2024-03-13,content,lost,20093.29
565,16,2024-08-01,events,new,1246.39
566,8,2024-07-15,events,qualified,6140.97
567,4,2024-02-24,webinar,new,2801.03
568,18,2024-03-26,webinar,lost,7123.11
569,13,2023-12-20,outbound,lost,14866.84
570,2,2024-08-27,events,new,403.0
571,9,2024-06-20,outbound,won,20488.66
572,9,2024-10-04,content,qualified,16632.01
573,16,2024-04-10,search,new,14619.59
574,14,2024-10-25,search,lost,10116.13
575,15,2023-08-29,content,new,7188.23
576,14,2024-12-17,search,qualified,10454.78
577,19,2024-09-06,content,qualified,13962.41
578,1,2023-12-22,content,won,11821.42
579,11,2024-08-29,outbound,won,8873.42
580,7,2024-02-04,outbound,new,11287.4
581,10,2024-11-29,search,new,12890.26
582,18,2024-11-10,outbound,new,13532.09
583,6,2024-09-03,webinar,qualified,10143.35
584,18,2024-09-02,outbound,qualified,3928.01
585,20,2024-11-06,partner,won,721.93
586,23,2024-10-22,webinar,new,10670.45
587,12,2024-12-09,events,new,15504.79
588,24,2024-11-26,content,lost,12099.18
589,6,2024-12-15,events,lost,6029.53
590,9,2024-06-09,outbound,qualified,22230.78
591,9,2024-11-27,search,qualified,17153.12
592,15,2024-12-05,partner,won,14078.42
593,24,2024-09-15,partner,qualified,21166.18
594,3,2024-11-24,content,new,7318.38
595,13,2024-10-25,partner,new,15654.28
596,10,2024-07-19,content,qualified,15493.89
597,10,2024-01-22,events,new,526.97
598,3,2024-10-20,content,new,6848.61
599,1,2024-02-17,webinar,lost,6071.6
600,2,2023-12-02,webinar,lost,15248.36
601,5,2024-09-13,webinar,qualified,14934.88
602,12,2024-11-19,search,won,6780.3
603,1,2023-09-22,events,new,20591.12
604,2,2023-08-02,partner,new,9381.14
605,7,2024-07-19,webinar,qualified,22264.21
606,8,2024-05-26,content,lost,14617.67
607,1,2023-10-09,events,qualified,7296.3
608,2,2024-12-19,webinar,lost,7163.27
609,11,2024-01-14,events,new,3226.92
610,18,2024-11-18,search,new,17686.06
611,15,2023-10-25,webinar,new,11281.33
612,4,2024-11-22,outbound,qualified,15839.81
613,4,2024-03-10,outbound,new,12565.65
614,3,2024-09-15,partner,won,10803.43
615,18,2023-09-15,webinar,new,7392.97
616,4,2024-08-28,content,qualified,21583.1
617,18,2024-10-17,partner,new,788.13
618,5,2024-03-04,partner,qualified,15605.02
619,11,2023-11-03,partner,qualified,6356.09
620,15,2024-12-27,partner,new,5906.52
621,8,2024-03-15,partner,new,17777.04
622,1,2023-10-19,content,qualified,20952.85
623,12,2024-04-20,search,new,3448.41
624,23,2024-10-20,partner,lost,22511.58
625,18,2024-11-22,outbound,new,1631.09
626,1,2024-06-11,outbound,qualified,11142.71
627,8,2024-11-01,content,new,3952.96
628,9,2023-12-15,content,new,10632.51
629,16,2024-11-26,partner,won,22718.95
630,12,2024-01-15,partner,lost,17673.48
631,9,2023-12-31,content,lost,23837.16
632,5,2023-12-21,content,qualified,23404.94
633,23,2024-01-20,events,qualified,21117.57
634,1,2024-09-23,search,lost,10018.46
635,24,2024-08-10,partner,qualified,18449.07
636,7,2024-09-29,search,lost,8558.78
637,6,2023-08-14,content,won,6054.38
638,7,2024-07-29,outbound,qualified,9121.48
639,7,2024-04-08,content,qualified,11325.4
640,22,2024-02-17,search,lost,12259.09
641,21,2024-05-16,content,qualified,8912.83
642,10,2023-11-16,search,qualified,11896.96
