invoice_id,customer_id,issue_date,due_date,amount,status,paid_date
2265,180,2023-07-02,2023-08-01,1114.7,overdue,
2280,181,2023-08-03,2023-09-02,15633.3,overdue,
2303,182,2024-11-05,2024-12-05,34350.99,overdue,
2305,183,2023-08-04,2023-09-03,6682.41,overdue,
2309,183,2024-07-02,2024-08-01,10351.68,overdue,
2317,184,2024-02-01,2024-03-02,22067.7,overdue,
2342,186,2023-09-04,2023-10-04,4068.62,overdue,
2343,186,2023-11-05,2023-12-05,17108.02,overdue,
2345,186,2024-02-03,2024-03-04,7849.17,overdue,
2369,188,2023-10-05,2023-11-04,7597.6,overdue,
2404,190,2024-12-02,2025-01-01,29238.45,overdue,
2424,192,2024-02-02,2024-03-03,20952.78,overdue,
2443,194,2023-08-01,2023-08-31,15306.58,overdue,
2474,196,2023-12-05,2024-01-04,26557.38,overdue,
2502,198,2024-02-01,2024-03-02,2994.76,overdue,
2516,199,2023-12-05,2024-01-04,23560.06,overdue,
2520,199,2024-05-03,2024-06-02,40536.52,overdue,
2531,200,2024-07-04,2024-08-03,30414.8,overdue,
2532,200,2024-08-05,2024-09-04,16467.31,overdue,
2544,201,2024-09-01,2024-10-01,35098.05,overdue,
2568,203,2024-05-05,2024-06-04,16994.16,overdue,
2570,203,2024-08-03,2024-09-02,32692.04,overdue,
2573,204,2023-08-02,2023-09-01,25665.49,overdue,
2583,204,2024-07-05,2024-08-04,17081.28,overdue,
2597,206,2023-07-02,2023-08-01,11232.32,overdue,
2653,210,2024-03-01,2024-03-31,25298.55,overdue,
2670,211,2024-08-01,2024-08-31,11093.6,overdue,
2710,214,2024-07-04,2024-08-03,18625.78,overdue,
2715,215,2023-07-02,2023-08-01,2380.64,overdue,
2717,215,2023-11-03,2023-12-03,8328.0,overdue,
2719,215,2024-01-04,2024-02-03,47697.72,overdue,
2733,216,2023-10-04,2023-11-03,41816.83,overdue,
2752,217,2024-07-05,2024-08-04,13377.43,overdue,
2766,218,2024-12-05,2025-01-04,9115.63,overdue,
2788,220,2024-11-04,2024-12-04,30817.98,overdue,
2794,221,2023-11-05,2023-12-05,5639.07,overdue,
2820,223,2023-10-01,2023-10-31,5383.72,overdue,
2922,230,2023-11-02,2023-12-02,15705.08,overdue,
2952,232,2024-12-01,2024-12-31,21826.16,overdue,
2966,234,2023-08-03,2023-09-02,6907.74,overdue,
2969,234,2024-03-02,2024-04-01,29020.23,overdue,
2970,234,2024-05-02,2024-06-01,33605.7,overdue,
2976,235,2023-08-03,2023-09-02,22801.77,overdue,
3019,237,2024-12-02,2025-01-01,16079.28,overdue,
3036,239,2024-01-02,2024-02-01,3552.09,overdue,
3055,240,2024-08-01,2024-08-31,27216.51,overdue,
3063,241,2024-03-03,2024-04-02,4784.54,overdue,
3079,242,2024-03-03,2024-04-02,4503.7,overdue,
3084,242,2024-09-03,2024-10-03,13979.76,overdue,
3085,242,2024-10-02,2024-11-01,12091.26,overdue,
3088,243,2023-07-03,2023-08-02,2940.82,overdue,
3089,243,2023-08-04,2023-09-03,19762.47,overdue,
3132,246,2024-08-05,2024-09-04,25626.35,overdue,
3146,247,2024-06-02,2024-07-02,13182.56,overdue,
3186,250,2024-04-03,2024-05-03,26727.38,overdue,
3210,252,2023-10-05,2023-11-04,32060.7,overdue,
3248,255,2023-08-05,2023-09-04,44720.5,overdue,
3255,255,2024-03-04,2024-04-03,29250.14,overdue,
3293,258,2023-09-03,2023-10-03,9121.2,overdue,
3303,258,2024-09-04,2024-10-04,9253.91,overdue,
3323,260,2023-10-01,2023-10-31,4691.54,overdue,
3329,260,2024-05-05,2024-06-04,7855.44,overdue,
3355,262,2024-07-02,2024-08-01,38196.78,overdue,
3367,263,2024-08-03,2024-09-02,12391.32,overdue,
3394,265,2024-12-03,2025-01-02,5535.28,overdue,
3406,266,2024-06-01,2024-07-01,46269.1,overdue,
3410,266,2024-10-02,2024-11-01,14927.01,overdue,
3412,267,2023-07-03,2023-08-02,6154.84,overdue,
3415,267,2023-11-02,2023-12-02,1863.71,overdue,
3442,269,2024-04-05,2024-05-05,16517.39,overdue,
3469,271,2024-02-01,2024-03-02,8767.92,overdue,
3471,271,2024-07-03,2024-08-02,21401.96,overdue,
3480,272,2024-02-03,2024-03-04,726.36,overdue,
3498,273,2024-08-01,2024-08-31,44099.46,overdue,
3505,274,2023-11-03,2023-12-03,52237.96,overdue,
3513,274,2024-10-02,2024-11-01,62179.73,overdue,
3521,275,2024-04-02,2024-05-02,4267.16,overdue,
3557,278,2023-08-04,2023-09-03,9192.0,overdue,
3575,279,2024-08-04,2024-09-03,50257.0,overdue,
3662,287,2024-06-01,2024-07-01,33457.2,overdue,
3668,288,2023-07-03,2023-08-02,7652.08,overdue,
3669,288,2023-10-02,2023-11-01,6286.72,overdue,
3687,289,2024-04-03,2024-05-03,10924.14,overdue,
3688,289,2024-05-02,2024-06-01,7710.49,overdue,
3706,290,2024-06-04,2024-07-04,15398.23,overdue,
3711,290,2024-11-02,2024-12-02,41204.63,overdue,
3729,292,2023-11-01,2023-12-01,3276.53,overdue,
3790,297,2024-01-05,2024-02-04,14920.57,overdue,
3796,297,2024-09-02,2024-10-02,49963.54,overdue,
3844,301,2024-04-03,2024-05-03,3847.15,overdue,
3858,302,2024-02-01,2024-03-02,8835.86,overdue,
3865,302,2024-11-03,2024-12-03,10900.8,overdue,
3868,303,2023-08-02,2023-09-01,25762.06,overdue,
3876,303,2024-07-05,2024-08-04,1311.2,overdue,
3951,309,2024-07-04,2024-08-03,3399.52,overdue,
3970,311,2023-09-03,2023-10-03,24008.2,overdue,
3975,311,2024-02-04,2024-03-05,33273.76,overdue,
3979,311,2024-06-03,2024-07-03,29899.86,overdue,
3982,311,2024-11-02,2024-12-02,16690.3,overdue,
4011,313,2024-12-05,2025-01-04,12374.4,overdue,
4012,314,2023-08-05,2023-09-04,21131.68,overdue,
4013,314,2023-09-05,2023-10-05,13056.06,overdue,
4141,324,2024-03-02,2024-04-01,16164.9,overdue,
4159,326,2023-11-01,2023-12-01,44922.19,overdue,
4178,327,2024-03-04,2024-04-03,21358.64,overdue,
4184,327,2024-10-01,2024-10-31,3421.34,overdue,
4194,328,2024-04-01,2024-05-01,39652.23,overdue,
4220,330,2024-09-01,2024-10-01,3216.82,overdue,
4223,330,2024-12-05,2025-01-04,5079.56,overdue,
4278,335,2024-05-01,2024-05-31,21546.6,overdue,
4280,335,2024-07-02,2024-08-01,12333.87,overdue,
4283,336,2023-07-04,2023-08-03,36583.58,overdue,
